0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
BOS,e,a,g,q,h,c,j,l,p,t,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,b,k,EOS,
BOS,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,b,k,EOS,
BOS,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,i,y,r,d,v,o,w,b,k,EOS,
BOS,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,j,l,p,t,s,f,u,m,n,x,i,y,r,v,o,w,b,k,EOS,
BOS,e,a,g,q,h,c,l,p,t,s,f,u,m,n,x,i,y,r,d,v,o,w,b,k,EOS,
