0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,q,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,s,g,n,q,c,k,t,h,t,h,t,m,b,EOS,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,o,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,i,f,k,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,l,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,e,c,k,t,m,b,u,f,k,t,h,t,h,h,m,b,EOS,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,e,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,
u,BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,BOS,a,s,g,n,q,c,k,t,h,t,h,t,m,b,u,f,k,h,m,b,EOS,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,EOS,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,BOS,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,q,EOS,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,h,h,m,b,u,f,k,m,b,i,EOS,,
