0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36
BOS,d,j,e,p,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,h,t,m,b,EOS,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,f,k,t,m,b,EOS,,,,,,,,,,,,
BOS,d,j,e,p,l,r,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,h,h,b,EOS,,,,,,,,
BOS,d,j,e,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,m,b,u,f,k,h,m,b,EOS,,,,,,,,
BOS,d,j,e,p,l,r,i,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,t,m,b,u,f,k,t,h,h,m,b,u,f,k,h,m,b,EOS,,
BOS,d,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,n,q,c,k,t,h,t,h,t,m,b,u,f,k,m,b,EOS,,,,,,,,,
BOS,d,j,e,p,l,r,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
