0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
h,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,s,o,a,s,g,n,q,c,k,t,h,t,h,t,m,b,EOS,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,f,f,k,t,m,b,EOS,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,r,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,j,s,g,n,q,c,k,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,l,b,u,f,k,t,h,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,u,f,k,t,h,t,h,h,g,m,b,EOS,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,e,t,h,t,m,b,u,f,k,t,m,b,EOS,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,m,b,r,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,m,b,k,f,k,h,m,b,EOS,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,k,n,q,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,l,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,a,c,k,t,m,b,EOS,,,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,m,h,t,m,b,u,f,k,t,h,t,h,m,b,u,f,k,b,EOS,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,t,b,EOS,,,,,,,,,,,,,,,,,,
j,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,m,b,u,f,r,m,b,EOS,,,,,,,,,
BOS,d,j,e,c,l,r,i,o,a,s,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,h,t,h,t,h,m,b,u,f,k,m,b,u,f,k,m,b,u,f,r,EOS
BOS,d,j,e,p,l,r,i,o,a,s,g,n,q,c,k,t,l,t,m,b,EOS,,,,,,,,,,,,,,,,
BOS,d,j,e,p,l,r,i,o,a,BOS,g,n,q,c,k,t,h,t,m,b,EOS,,,,,,,,,,,,,,,,
