0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
j,c,d,m,b,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,i,h,j,k,g,j,o
d,b,l,f,c,p,m,n,e,a,i,k,h,h,g,j,o
d,c,b,m,l,f,p,n,e,a,i,k,h,g,i,j,o
c,m,d,b,l,f,p,n,e,a,i,h,d,k,g,j,o
d,c,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,h,k,i,g,j,o
d,c,b,l,f,p,n,m,b,e,a,i,k,h,g,j,o
c,d,m,b,l,i,f,p,n,e,a,i,h,k,g,j,o
d,b,l,f,p,c,m,n,e,a,i,i,k,h,g,j,o
c,d,m,b,l,f,a,p,n,e,a,i,k,h,g,o,j
d,b,c,j,l,f,m,p,n,e,a,i,k,h,g,j,o
d,c,b,l,m,f,p,n,e,a,n,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,h,l,k,g,j,o
d,c,b,m,l,f,k,p,n,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,p,i,k,h,g,o,j
c,d,b,m,l,f,p,c,n,e,a,i,k,h,g,j,o
c,m,d,b,l,p,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,a,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,h,k,d,g,o,j
d,b,c,l,f,p,n,m,e,a,i,h,k,l,g,o,j
c,m,d,b,l,f,p,n,e,a,i,f,h,k,g,o,j
d,h,c,b,l,f,p,m,n,e,a,i,k,h,g,j,o
d,d,c,b,m,l,f,p,n,e,a,i,h,k,g,o,j
d,b,l,f,p,n,c,m,e,a,i,k,j,h,g,o,j
d,g,b,c,m,l,f,p,n,e,a,i,h,k,g,j,o
j,c,d,b,l,f,p,m,n,e,a,i,k,h,g,j,o
d,b,l,f,c,m,p,n,d,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,b,e,a,i,h,k,g,o,j
d,c,b,l,o,f,m,p,n,e,a,i,k,h,g,o,j
d,b,l,c,m,l,f,p,n,e,a,i,k,h,g,o,j
d,c,m,b,l,f,p,n,e,a,i,k,e,h,g,j,o
d,b,l,i,c,f,m,p,n,e,a,i,k,h,g,j,o
m,d,b,l,f,c,m,p,n,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,d,n,e,a,i,h,k,g,j,o
d,b,c,l,m,f,p,n,e,j,a,i,h,k,g,j,o
d,c,b,l,f,m,p,n,e,a,i,k,h,g,e,o,j
c,m,d,b,l,f,p,n,e,g,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,o,c,j
d,b,c,m,l,f,p,n,e,p,a,i,k,h,g,o,j
d,b,l,c,f,p,m,n,i,e,a,i,k,h,g,o,j
c,a,d,b,m,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,i,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,j,n,e,a,i,k,h,g,o,j
d,c,b,l,f,p,n,m,e,a,i,j,k,h,g,j,o
d,c,m,b,c,l,f,p,n,e,a,i,k,h,g,j,o
a,d,b,c,m,l,f,p,n,e,a,i,h,k,g,o,j
c,d,m,b,l,f,p,n,e,n,a,i,k,h,g,j,o
c,m,d,b,l,b,f,p,n,e,a,i,k,h,g,j,o
c,d,d,m,b,l,f,p,n,e,a,i,h,k,g,o,j
c,d,m,b,l,f,p,n,e,a,n,i,h,k,g,j,o
