0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,m,b,l,f,p,n,e,a,i,h,i,g,j,o
c,m,d,b,p,f,p,n,e,a,i,h,k,g,j,o
d,b,h,f,c,p,m,n,e,a,i,k,h,g,j,o
d,c,j,m,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,o,e,a,i,h,k,g,j,o
d,c,m,b,l,f,p,n,h,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,e,a,i,l,k,g,j,o
p,c,b,l,f,p,n,m,e,a,i,k,h,g,j,o
c,d,c,b,l,f,p,n,e,a,i,h,k,g,j,o
d,b,b,f,p,c,m,n,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,k,h,g,o,a
d,b,c,l,f,m,p,n,e,d,i,k,h,g,j,o
d,c,b,g,m,f,p,n,e,a,i,h,k,g,o,j
d,c,m,b,l,f,p,g,e,a,i,h,k,g,j,o
d,c,b,m,l,c,p,n,e,a,i,k,h,g,j,o
c,d,m,b,l,f,p,n,e,a,i,k,h,g,c,j
c,d,b,m,l,f,p,n,e,p,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,o,o,j
c,m,d,b,l,f,p,n,e,l,i,h,k,g,o,j
d,b,c,l,f,p,i,m,e,a,i,h,k,g,o,j
c,m,d,b,l,f,p,n,e,a,i,h,k,g,o,j
d,c,b,l,g,p,m,n,e,a,i,k,h,g,j,o
d,c,b,m,l,f,p,f,e,a,i,h,k,g,o,j
g,b,l,f,p,n,c,m,e,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,e,a,i,h,k,l,j,o
c,d,b,l,f,p,m,h,e,a,i,k,h,g,j,o
d,b,l,f,c,c,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,e,a,i,h,c,g,o,j
d,c,b,l,f,m,p,n,e,a,i,o,h,g,o,j
d,b,l,c,m,f,p,n,e,a,i,k,h,g,o,j
d,c,m,b,l,f,p,j,e,a,i,k,h,g,j,o
d,b,l,c,f,m,p,n,e,a,n,k,h,g,j,o
d,b,l,f,c,m,p,n,b,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,d,j,o
d,b,c,l,m,f,p,n,e,a,a,h,k,g,j,o
d,c,b,l,f,m,p,n,e,a,i,k,h,a,o,j
c,m,k,b,l,f,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,h,k,g,f,j
d,d,c,m,l,f,p,n,e,a,i,k,h,g,o,j
d,b,l,c,f,p,m,n,e,a,i,i,h,g,o,j
c,d,b,k,l,f,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,i,a,i,h,k,g,o,j
d,c,m,b,l,f,p,n,a,a,i,k,h,g,o,j
d,c,b,l,f,p,n,m,e,a,i,o,h,g,j,o
d,c,m,b,l,f,p,n,e,a,i,k,h,g,n,o
d,b,c,m,l,f,p,p,e,a,i,h,k,g,o,j
c,d,m,b,l,f,p,n,e,a,d,k,h,g,j,o
c,m,d,b,l,f,p,d,e,a,i,k,h,g,j,o
c,d,a,b,l,f,p,n,e,a,i,h,k,g,o,j
c,d,m,b,l,f,p,n,e,a,i,h,k,g,f,o
c,m,d,b,l,f,p,n,e,a,i,h,k,g,d,o
d,c,b,m,l,f,p,n,e,a,i,h,k,g,o,p
c,m,d,b,l,f,p,n,e,a,i,k,h,g,o,j
d,b,c,m,l,o,p,n,e,a,i,k,h,g,j,o
d,c,m,b,l,f,p,n,e,a,m,k,h,g,j,o
c,m,d,b,l,f,p,m,e,a,i,k,h,g,o,j
c,m,d,b,l,f,p,n,d,a,i,h,k,g,j,o
c,d,d,b,l,f,p,n,e,a,i,h,k,g,j,o
d,c,b,m,l,e,p,n,e,a,i,k,h,g,o,j
c,m,d,b,l,e,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,i,k,h,g,o,b
c,d,m,b,l,f,p,n,n,a,i,k,h,g,o,j
c,d,m,p,l,f,p,n,e,a,i,h,k,g,j,o
d,b,c,l,f,m,p,n,e,a,i,h,k,g,o,j
