0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
c,d,m,b,l,f,p,o,e,a,i,h,k,g,j,n
c,m,d,b,l,o,p,n,e,a,i,h,k,g,j,f
d,k,l,f,c,p,m,n,e,a,i,b,h,g,j,o
c,d,b,m,l,f,p,n,e,a,i,k,h,g,j,o
g,m,d,b,l,f,p,n,e,a,i,h,k,c,j,o
d,o,m,b,l,f,p,n,e,a,i,h,k,g,c,j
d,c,m,b,l,f,p,n,g,a,i,h,k,e,j,o
d,c,k,l,f,p,n,m,e,a,i,b,h,g,j,o
c,d,n,b,l,f,p,m,e,a,i,h,k,g,j,o
d,n,l,f,p,c,m,b,e,a,i,k,h,g,j,o
k,d,m,b,l,f,p,n,e,a,i,c,h,g,o,j
d,b,c,l,f,m,p,n,e,o,i,k,h,g,j,a
d,c,b,l,m,f,p,n,e,j,i,h,k,g,o,a
d,c,f,b,l,m,p,n,e,a,i,h,k,g,j,o
d,c,b,m,l,f,p,n,e,a,i,h,k,g,j,o
c,d,m,b,l,f,p,n,e,a,k,i,h,g,o,j
c,d,b,n,l,f,p,m,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,e,a,g,k,h,i,j,o
c,m,d,b,l,f,p,n,e,a,g,k,h,i,o,j
c,m,d,b,l,f,p,n,e,a,i,h,g,k,o,j
d,b,c,l,f,p,n,j,e,a,i,h,k,g,o,m
p,m,d,b,l,f,c,n,e,a,i,h,k,g,o,j
d,c,b,l,f,p,j,n,e,a,i,k,h,g,m,o
d,c,b,m,k,f,p,n,e,a,i,h,l,g,o,j
d,b,l,f,p,n,e,m,c,a,i,k,h,g,o,j
d,b,c,m,l,f,p,n,e,a,i,j,k,g,h,o
c,d,b,l,f,p,m,n,e,o,i,k,h,g,j,a
d,b,l,f,c,m,i,n,e,a,p,k,h,g,o,j
c,m,d,b,f,l,p,n,e,a,i,h,k,g,o,j
d,c,b,l,f,m,p,n,j,a,i,k,h,g,o,e
d,b,l,c,f,m,p,n,e,a,i,k,h,g,o,j
o,c,m,b,l,f,p,n,e,a,i,k,h,g,j,d
d,b,g,c,f,m,p,n,e,a,i,k,h,l,j,o
d,b,l,f,c,m,p,n,e,a,i,h,k,j,g,o
d,c,b,m,a,f,p,n,e,l,i,h,k,g,j,o
d,b,c,l,m,f,p,n,e,a,i,h,j,g,k,o
d,c,b,l,f,m,h,n,e,a,i,k,p,g,o,j
c,m,d,b,k,f,p,n,e,a,i,l,h,g,j,o
d,c,m,b,l,f,p,n,e,a,h,i,k,g,o,j
d,b,c,m,l,f,p,n,e,g,i,k,h,a,o,j
d,b,l,f,c,p,m,n,e,a,i,k,h,g,o,j
c,d,b,m,f,l,p,n,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,j,a,i,h,k,g,o,e
d,c,m,o,l,f,p,n,e,a,i,k,h,g,b,j
d,f,b,l,c,p,n,m,e,a,i,k,h,g,j,o
d,n,m,b,l,f,p,c,e,a,i,k,h,g,j,o
d,b,c,m,l,f,p,n,e,i,a,h,k,g,o,j
c,d,m,b,g,f,p,n,e,a,i,k,h,l,j,o
e,m,d,b,l,f,p,n,c,a,i,k,h,g,j,o
c,d,j,b,l,f,p,n,e,a,i,h,k,g,o,m
c,l,m,b,d,f,p,n,e,a,i,h,k,g,j,o
c,m,h,b,l,f,p,n,e,a,i,d,k,g,j,o
d,c,b,j,l,f,p,n,e,a,i,h,k,g,o,m
c,m,d,b,l,f,p,n,e,a,h,k,i,g,o,j
d,b,c,m,l,f,p,n,e,a,i,k,g,h,j,o
d,c,m,b,l,f,p,n,e,o,i,k,h,g,j,a
c,m,d,b,l,f,p,n,e,o,i,k,h,g,a,j
c,m,d,b,l,f,p,n,e,j,i,h,k,g,a,o
c,m,d,b,l,a,p,n,e,f,i,h,k,g,j,o
d,c,g,m,l,f,p,n,e,a,i,k,h,b,o,j
c,m,d,b,l,f,p,j,e,a,i,k,h,g,n,o
c,m,d,b,l,f,p,n,e,a,i,k,j,g,o,h
j,d,m,b,l,f,p,n,e,a,i,k,h,g,o,c
c,d,m,b,l,f,o,n,e,a,i,h,k,g,j,p
d,b,c,o,f,m,p,n,e,a,i,h,k,g,l,j
c,m,d,b,l,n,p,f,e,a,i,k,h,g,o,j
c,d,m,b,l,f,p,n,e,a,i,k,h,g,o,j
h,d,b,l,f,p,m,n,e,a,i,k,c,g,j,o
c,d,m,b,l,f,p,n,e,a,g,h,k,i,o,j
c,m,d,b,l,i,p,n,e,a,f,k,h,g,j,o
c,m,l,b,d,f,p,n,e,a,i,k,h,g,j,o
c,m,d,b,l,g,p,n,e,a,i,k,h,f,j,o
d,b,l,c,m,f,p,n,e,a,i,j,k,g,o,h
d,c,b,l,n,p,f,m,e,a,i,h,k,g,j,o
c,m,d,b,l,f,p,n,e,a,g,h,k,i,j,o
c,d,b,m,l,a,p,n,e,f,i,k,h,g,j,o
d,b,c,l,m,f,j,n,e,a,i,h,k,g,o,p
d,b,c,l,m,g,p,n,e,a,i,k,h,f,j,o
d,c,m,b,l,f,p,n,e,a,i,j,h,g,k,o
a,b,c,l,f,m,p,n,e,d,i,k,h,g,o,j
c,m,d,n,l,f,p,b,e,a,i,h,k,g,o,j
c,m,o,b,l,f,p,n,e,a,i,h,k,g,d,j
d,c,m,b,l,j,p,n,e,a,i,k,h,g,f,o
c,m,d,l,b,f,p,n,e,a,i,k,h,g,o,j
d,c,b,m,l,j,p,n,e,a,i,h,k,g,o,f
c,d,b,m,l,f,p,h,e,a,i,k,n,g,j,o
d,c,m,b,l,f,i,n,e,a,p,h,k,g,j,o
d,c,m,b,l,f,g,n,e,a,i,k,h,p,o,j
d,c,b,l,m,f,p,n,e,i,a,h,k,g,o,j
d,b,l,f,p,e,c,m,n,a,i,k,h,g,j,o
c,m,d,b,l,f,p,n,a,e,i,h,k,g,j,o
c,d,b,m,l,f,p,n,e,a,i,h,o,g,k,j
c,d,b,m,l,f,p,n,e,i,a,h,k,g,j,o
c,d,m,b,l,f,p,n,e,a,h,k,i,g,o,j
d,b,l,f,p,c,k,m,e,a,i,n,h,g,o,j
c,d,b,m,l,f,g,n,e,a,i,k,h,p,j,o
d,c,b,m,l,f,a,n,e,p,i,k,h,g,o,j
d,c,l,m,b,f,p,n,e,a,i,k,h,g,o,j
i,d,b,m,l,f,p,n,e,a,c,h,k,g,j,o
d,m,c,b,l,f,p,n,e,a,i,k,h,g,j,o
c,d,b,n,l,f,p,m,e,a,i,k,h,g,j,o
c,m,d,b,l,f,p,o,e,a,i,k,h,g,j,n
