0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
c,g,e,i,d,j,h,i,j,d,h,i,b,k,f,a,,,
c,g,e,h,i,k,a,f,,,,,,,,,,,
c,g,e,h,i,j,d,h,b,k,f,a,,,,,,,
c,g,e,h,i,j,h,i,j,d,h,i,b,k,f,a,,,
g,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,b,k,f,,,,,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,d,h,i,b,k,a,f,,,,,,,
c,g,e,h,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,h,i,b,k,f,a,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,h,i,d,j,h,b,k,a,f,,,,,,,
c,g,e,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,f,a,,,,,,,,,,,
c,g,h,i,j,d,h,i,d,j,h,i,j,d,b,k,f,a,
c,g,e,h,i,j,d,h,i,b,k,a,,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,b,k,a,,,
c,g,h,i,d,j,h,i,j,d,h,i,b,k,f,a,,,
c,g,e,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,a,f,,,,,,,,,,,
c,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,d,j,h,i,b,a,f,,,,,,,
c,g,e,h,i,b,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,d,h,i,d,j,b,k,a,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,i,d,j,h,i,d,j,h,i,b,k,f,a,,,
g,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,i,j,d,h,i,b,k,f,a,,,,,,,
c,g,e,i,d,j,h,i,d,j,h,i,d,j,h,b,k,a,f
c,g,e,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,h,i,d,j,h,b,k,f,a,,,,,,,
c,g,e,h,b,k,f,a,,,,,,,,,,,
c,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
g,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,b,k,f,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,d,j,b,k,a,f
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,d,j,b,k,f,
c,g,e,h,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,b,f,a,,,,,,,,,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,h,b,k,a,f,,,,,,,,,,,
c,g,h,i,b,k,f,a,,,,,,,,,,,
c,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,k,a,f,,,,,,,,,,,
c,g,e,h,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,h,i,d,j,d,b,k,f,a
c,g,e,h,i,d,j,h,i,d,j,h,i,k,f,a,,,
c,g,e,h,i,j,d,i,b,k,f,a,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,i,b,k,f,a,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,j,d,b,a,f,
c,g,e,h,i,j,d,h,i,b,a,f,,,,,,,
g,e,h,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,d,j,h,i,j,d,h,j,d,i,b,k,a,f
c,g,e,h,i,b,f,a,,,,,,,,,,,
c,g,e,h,i,d,j,i,b,k,f,a,,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,b,k,a,,,
c,g,e,h,i,b,k,f,,,,,,,,,,,
c,g,e,h,i,b,k,a,,,,,,,,,,,
c,g,e,h,i,d,h,i,d,j,h,i,d,j,b,k,f,a,
c,g,e,h,b,k,a,f,,,,,,,,,,,
g,e,h,i,b,k,f,a,,,,,,,,,,,
c,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,d,h,i,j,b,k,f,a,
g,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,j,d,h,i,b,k,a,f,,,,,,,
g,e,h,i,j,d,h,i,b,k,a,f,,,,,,,
c,g,e,h,i,d,j,h,i,j,d,h,i,b,k,a,,,
c,g,e,h,i,k,a,f,,,,,,,,,,,
c,g,e,i,j,d,h,i,j,d,h,i,b,k,a,f,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,b,k,a,,,
c,g,e,h,i,j,d,h,j,d,h,i,b,k,f,a,,,
c,g,e,i,b,k,f,a,,,,,,,,,,,
c,g,e,h,i,b,a,f,,,,,,,,,,,
g,e,h,i,b,k,a,f,,,,,,,,,,,
c,g,e,h,i,d,j,h,i,k,a,f,,,,,,,
