0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
c,g,e,h,i,f,j,h,i,j,d,h,i,b,k,d,a,,
c,g,h,e,i,b,k,a,f,,,,,,,,,,
c,g,j,h,i,e,d,h,i,b,k,f,a,,,,,,
d,g,e,h,i,d,j,h,i,j,c,h,i,b,k,f,a,,
c,g,k,h,i,b,e,f,a,,,,,,,,,,
c,g,b,h,i,e,k,a,f,,,,,,,,,,
c,g,e,h,i,a,k,b,f,,,,,,,,,,
c,g,e,h,i,d,j,h,i,b,k,a,f,,,,,,
c,a,e,h,i,b,k,g,f,,,,,,,,,,
c,g,e,b,i,h,k,f,a,,,,,,,,,,
b,g,e,h,i,d,j,h,i,c,k,a,f,,,,,,
f,g,e,h,i,b,k,c,a,,,,,,,,,,
c,g,e,h,i,j,d,h,i,a,j,h,i,b,k,f,d,,
c,g,e,h,i,k,b,f,a,,,,,,,,,,
f,g,e,h,i,d,j,h,i,b,k,a,c,,,,,,
a,g,e,h,i,b,k,c,f,,,,,,,,,,
c,g,e,h,a,b,k,f,i,,,,,,,,,,
c,g,e,h,i,j,d,h,i,f,j,h,i,j,d,d,b,k,a
e,g,c,h,i,j,d,h,i,b,k,a,f,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,i,b,k,f,a,,
c,g,e,h,i,d,j,h,k,j,d,h,i,b,i,f,a,,
c,g,e,h,b,i,k,a,f,,,,,,,,,,
c,g,e,b,i,h,k,a,f,,,,,,,,,,
c,g,f,h,i,b,k,e,a,,,,,,,,,,
c,g,e,k,i,b,h,a,f,,,,,,,,,,
d,g,e,h,i,c,j,h,i,b,k,a,f,,,,,,
c,k,e,h,i,b,g,f,a,,,,,,,,,,
c,g,e,h,i,j,d,h,i,j,d,h,i,d,j,b,k,f,a
k,g,e,h,i,b,c,f,a,,,,,,,,,,
c,g,e,h,i,b,j,h,i,d,j,h,i,d,k,f,a,,
c,g,e,h,i,f,k,a,b,,,,,,,,,,
c,g,e,h,i,j,d,h,i,b,k,f,a,,,,,,
c,g,e,h,i,d,j,i,i,d,j,h,d,j,h,b,k,a,f
c,g,i,h,e,b,k,a,f,,,,,,,,,,
c,b,e,h,i,g,k,f,a,,,,,,,,,,
c,f,e,h,i,d,j,h,i,b,k,g,a,,,,,,
b,g,e,h,i,c,k,f,a,,,,,,,,,,
c,g,e,k,i,b,h,f,a,,,,,,,,,,
c,g,e,h,i,b,f,k,a,,,,,,,,,,
b,g,e,h,i,c,k,f,a,,,,,,,,,,
c,g,e,h,i,j,d,h,a,d,j,h,i,b,k,i,f,,
c,g,e,h,i,j,d,h,i,h,j,i,d,j,d,b,k,a,f
c,h,e,g,i,b,k,f,a,,,,,,,,,,
c,g,e,i,i,j,d,h,i,d,j,h,h,d,j,b,k,f,a
c,g,e,a,i,b,k,h,f,,,,,,,,,,
c,g,e,h,f,b,k,i,a,,,,,,,,,,
a,g,e,h,i,b,k,f,c,,,,,,,,,,
c,b,e,h,i,g,k,a,f,,,,,,,,,,
c,g,e,h,i,a,k,b,f,,,,,,,,,,
c,g,e,h,i,k,b,f,a,,,,,,,,,,
c,g,e,h,k,b,i,a,f,,,,,,,,,,
c,a,e,h,i,b,k,g,f,,,,,,,,,,
a,g,e,h,i,b,k,f,c,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,h,i,j,d,b,k,f,a
c,g,b,h,i,d,j,h,i,d,j,h,i,e,k,f,a,,
i,g,e,h,i,j,d,h,c,b,k,f,a,,,,,,
c,g,i,h,e,j,d,h,i,d,j,h,i,b,k,f,a,,
c,f,e,h,i,b,k,a,g,,,,,,,,,,
g,c,e,h,i,b,k,f,a,,,,,,,,,,
c,g,e,h,i,i,j,h,i,d,j,h,d,j,d,b,k,a,f
c,g,e,h,i,j,k,h,i,b,d,a,f,,,,,,
c,g,e,h,i,f,k,b,a,,,,,,,,,,
c,g,k,h,i,b,e,a,f,,,,,,,,,,
c,g,e,h,d,d,j,h,i,j,i,h,i,j,d,b,k,a,f
c,g,e,a,i,b,k,f,h,,,,,,,,,,
c,g,e,j,i,d,h,h,i,b,k,f,a,,,,,,
c,g,e,h,i,d,j,h,i,d,j,h,f,b,k,i,a,,
c,g,i,h,e,b,k,f,a,,,,,,,,,,
c,g,e,h,i,a,k,f,b,,,,,,,,,,
c,g,e,h,i,d,j,h,i,d,j,i,d,j,h,b,k,f,a
c,g,b,h,i,e,k,a,f,,,,,,,,,,
c,g,a,h,i,b,k,f,e,,,,,,,,,,
i,g,e,h,c,b,k,a,f,,,,,,,,,,
c,g,e,h,i,k,d,h,i,j,d,h,i,j,d,b,j,f,a
c,a,e,h,i,b,k,g,f,,,,,,,,,,
c,g,e,h,b,j,d,h,i,i,k,a,f,,,,,,
c,g,i,h,e,j,d,h,i,b,k,a,f,,,,,,
c,g,e,f,i,d,j,h,i,j,d,h,i,b,k,a,h,,
i,g,e,h,c,b,k,a,f,,,,,,,,,,
c,g,j,h,i,j,d,h,i,e,d,h,i,b,k,a,f,,
c,g,e,h,a,d,j,h,i,d,j,h,i,b,k,f,i,,
c,g,e,h,i,j,f,h,i,j,d,h,i,b,k,d,a,,
c,g,e,h,i,a,k,f,b,,,,,,,,,,
c,g,e,h,f,b,k,a,i,,,,,,,,,,
c,g,e,h,i,a,k,b,f,,,,,,,,,,
f,g,e,h,i,d,j,h,i,b,k,a,c,,,,,,
c,g,e,h,i,j,d,h,i,j,d,h,i,d,j,b,k,a,f
c,g,e,h,f,b,k,i,a,,,,,,,,,,
c,g,e,h,i,f,k,a,b,,,,,,,,,,
c,g,e,h,i,d,d,h,i,d,j,h,i,j,j,b,k,a,f
g,c,e,h,i,b,k,a,f,,,,,,,,,,
c,g,i,h,i,d,j,h,i,d,j,h,e,j,d,b,k,f,a
g,c,e,h,i,j,d,h,i,b,k,a,f,,,,,,
c,b,e,h,i,g,k,f,a,,,,,,,,,,
c,g,e,j,i,d,h,h,i,b,k,a,f,,,,,,
c,g,e,h,i,d,b,h,i,j,k,f,a,,,,,,
c,g,e,b,i,d,j,h,i,h,k,f,a,,,,,,
c,g,e,h,i,b,f,a,k,,,,,,,,,,
c,g,e,h,f,b,k,a,i,,,,,,,,,,
c,g,e,f,i,b,k,a,h,,,,,,,,,,
c,g,e,h,f,b,k,a,i,,,,,,,,,,
g,c,e,h,i,b,k,a,f,,,,,,,,,,
c,g,e,h,j,i,d,h,i,b,k,a,f,,,,,,
c,g,e,a,i,b,k,h,f,,,,,,,,,,
c,g,e,h,i,f,k,a,b,,,,,,,,,,
c,g,e,h,k,b,i,a,f,,,,,,,,,,
c,i,e,h,g,b,k,f,a,,,,,,,,,,
c,g,e,h,i,j,d,h,i,b,k,a,f,,,,,,
c,f,e,h,i,b,k,g,a,,,,,,,,,,
c,g,e,h,i,j,j,h,i,d,d,h,i,b,k,f,a,,
c,g,e,i,h,b,k,f,a,,,,,,,,,,
c,g,e,h,i,d,j,h,i,b,k,f,a,,,,,,
c,h,e,g,i,b,k,f,a,,,,,,,,,,
c,g,e,h,i,b,d,h,i,j,k,a,f,,,,,,
c,g,e,h,i,j,h,d,i,b,k,a,f,,,,,,
b,g,e,h,i,c,k,f,a,,,,,,,,,,
c,g,i,h,e,j,d,h,i,b,k,a,f,,,,,,
c,g,e,f,i,b,k,a,h,,,,,,,,,,
c,g,e,a,i,b,k,h,f,,,,,,,,,,
k,g,e,h,i,b,c,a,f,,,,,,,,,,
b,g,e,h,i,c,k,a,f,,,,,,,,,,
c,h,e,h,i,j,d,h,i,d,j,g,i,b,k,f,a,,
c,i,e,h,g,b,k,a,f,,,,,,,,,,
c,g,e,h,i,d,j,h,i,j,k,h,i,j,d,b,d,f,a
c,g,e,h,i,k,b,f,a,,,,,,,,,,
d,g,e,h,i,j,c,h,i,b,k,f,a,,,,,,
c,i,e,h,g,b,k,f,a,,,,,,,,,,
c,g,e,h,i,j,h,d,i,b,k,f,a,,,,,,
c,g,e,h,i,j,d,h,i,a,d,h,i,b,k,f,j,,
c,g,e,k,i,b,h,a,f,,,,,,,,,,
c,g,f,h,i,b,k,a,e,,,,,,,,,,
c,f,e,h,i,b,k,a,g,,,,,,,,,,
c,g,e,f,i,b,k,a,h,,,,,,,,,,
c,f,e,h,i,b,k,a,g,,,,,,,,,,
c,g,j,h,i,d,j,h,i,e,d,h,i,b,k,f,a,,
c,g,h,e,i,b,k,a,f,,,,,,,,,,
c,e,g,h,i,b,k,f,a,,,,,,,,,,
c,g,h,h,i,d,j,h,i,j,d,i,j,d,e,b,k,f,a
c,g,e,h,h,j,d,i,i,j,d,h,i,b,k,f,a,,
c,g,e,h,i,d,j,h,i,d,j,h,i,d,j,k,b,f,a
f,g,e,h,i,b,k,a,c,,,,,,,,,,
c,g,f,h,i,b,k,a,e,,,,,,,,,,
c,k,e,h,i,b,g,a,f,,,,,,,,,,
c,d,e,h,i,j,g,h,i,b,k,f,a,,,,,,
c,g,h,e,i,b,k,f,a,,,,,,,,,,
c,g,e,h,k,d,j,h,i,d,j,h,i,b,i,f,a,,
c,g,e,h,i,f,k,b,a,,,,,,,,,,
c,g,e,h,i,d,h,j,i,b,k,f,a,,,,,,
c,j,e,h,i,d,j,h,i,j,d,h,i,d,g,b,k,a,f
c,g,e,i,h,b,k,f,a,,,,,,,,,,
f,g,e,h,i,d,j,h,i,d,j,h,i,j,d,b,k,c,a
c,g,k,h,i,b,e,f,a,,,,,,,,,,
c,i,e,h,g,b,k,f,a,,,,,,,,,,
a,g,e,h,i,b,k,f,c,,,,,,,,,,
c,j,e,h,i,d,j,h,i,g,d,h,i,b,k,a,f,,
c,g,e,h,f,b,k,a,i,,,,,,,,,,
c,i,e,h,g,b,k,f,a,,,,,,,,,,
c,g,e,h,i,j,d,h,i,d,j,i,h,j,d,b,k,a,f
c,g,e,h,a,b,k,i,f,,,,,,,,,,
c,g,e,h,i,h,j,d,i,b,k,a,f,,,,,,
c,g,e,h,i,b,a,k,f,,,,,,,,,,
c,e,g,h,i,b,k,a,f,,,,,,,,,,
c,g,e,h,i,b,f,a,k,,,,,,,,,,
c,g,f,h,i,b,k,a,e,,,,,,,,,,
c,g,e,h,i,d,h,j,i,b,k,f,a,,,,,,
c,g,e,i,h,b,k,a,f,,,,,,,,,,
c,g,e,h,i,b,a,k,f,,,,,,,,,,
c,i,e,h,g,b,k,a,f,,,,,,,,,,
c,g,f,h,i,j,d,h,i,b,k,a,e,,,,,,
a,g,e,h,i,d,j,h,i,j,d,h,i,b,k,f,c,,
e,g,c,h,i,b,k,a,f,,,,,,,,,,
c,g,e,d,i,j,h,h,i,b,k,f,a,,,,,,
c,g,e,h,i,d,j,f,i,b,k,a,h,,,,,,
c,g,e,h,i,b,f,k,a,,,,,,,,,,
c,g,e,h,i,k,b,f,a,,,,,,,,,,
b,g,e,h,i,j,d,h,i,c,k,f,a,,,,,,
c,g,e,f,i,b,k,h,a,,,,,,,,,,
c,e,g,h,i,b,k,a,f,,,,,,,,,,
a,g,e,h,i,b,k,c,f,,,,,,,,,,
