0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
BOS,b,j,c,a,k,h,s,r,l,EOS,u,f,o,d,n,t,n,m,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,EOS,e,f,o,d,n,t,n,t,n,t,i,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,f,o,g,p,q,o,g,p,q,o,t,p,q,d,n,g,n,t,n,EOS,,
BOS,b,j,c,a,k,h,s,r,l,m,d,f,o,u,n,t,n,EOS,,,,,,,,,,,,,,
BOS,b,j,c,a,EOS,h,s,r,l,e,f,o,d,n,k,,,,,,,,,,,,,,,,,
BOS,b,j,c,a,k,n,s,r,l,m,u,f,o,d,n,t,h,EOS,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,o,r,i,e,f,s,g,p,q,o,d,n,EOS,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,l,m,u,f,o,g,p,q,q,g,p,q,o,g,p,o,d,n,EOS,,,,,
BOS,b,j,c,a,k,h,s,r,l,e,f,o,d,n,t,n,t,n,t,EOS,,,,,,,,,,,,
BOS,b,j,a,c,k,h,s,r,i,e,f,o,g,p,q,o,g,p,q,o,g,p,q,d,n,t,n,t,n,EOS,,
BOS,b,j,c,a,k,h,m,r,l,s,u,f,o,g,p,q,o,g,p,q,o,d,n,t,n,t,n,t,EOS,,,
BOS,b,j,c,a,k,h,s,r,i,m,u,f,o,d,p,q,o,g,n,EOS,,,,,,,,,,,,
BOS,b,j,c,a,f,h,s,r,i,m,u,k,o,d,n,EOS,,,,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,f,m,u,l,o,g,p,q,o,d,n,t,n,EOS,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,t,o,d,n,f,n,t,n,EOS,,,,,,,,,,,,,
BOS,r,j,c,a,k,h,s,b,i,e,f,o,d,n,EOS,,,,,,,,,,,,,,,,,
BOS,b,g,c,a,k,h,s,r,l,e,f,o,j,p,q,o,d,n,EOS,,,,,,,,,,,,,
BOS,b,j,c,a,k,h,s,r,i,e,t,o,g,p,q,o,g,p,q,o,g,p,q,d,n,t,n,f,n,t,EOS,
BOS,b,j,d,a,k,h,s,r,l,e,f,o,c,n,t,n,EOS,,,,,,,,,,,,,,,
BOS,b,j,c,a,e,h,s,r,i,k,f,o,d,n,EOS,,,,,,,,,,,,,,,,,
BOS,b,j,c,h,k,a,s,r,l,m,u,f,o,g,p,q,o,g,p,q,o,d,n,EOS,,,,,,,,
