0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
BOS,b,l,j,o,q,d,c,h,k,n,s,g,f,i,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,h,k,n,s,g,i,f,a,e,t,
BOS,b,l,m,r,p,q,d,c,h,k,n,u,g,f,i,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,h,k,n,s,g,f,i,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,s,f,i,a,e,t,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,f,i,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,u,g,i,f,a,t,EOS,
BOS,b,l,j,o,q,d,c,h,k,n,u,g,i,f,a,e,t,EOS,
b,l,j,o,p,q,d,c,h,k,n,u,g,f,i,a,e,t,EOS,
BOS,b,m,r,p,q,d,c,h,k,n,s,g,f,i,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,s,g,f,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,k,n,u,g,f,i,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,k,n,g,s,f,i,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,h,k,n,s,g,f,i,a,e,EOS,
BOS,b,l,m,r,q,d,c,h,k,n,u,g,i,f,a,e,t,EOS,
BOS,b,l,m,p,q,d,c,h,k,n,s,g,i,f,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,k,n,u,g,i,f,a,e,t,EOS,
BOS,b,l,j,p,q,d,c,h,k,n,u,g,f,i,a,e,t,EOS,
BOS,b,l,o,p,q,d,c,h,k,n,g,s,i,f,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,u,g,i,f,a,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,s,f,i,a,e,t,
BOS,b,l,j,o,p,q,d,c,h,k,u,g,i,f,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,h,k,n,u,g,i,f,a,e,t,EOS,
BOS,b,m,r,p,q,d,c,h,k,n,u,g,f,i,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,u,f,i,a,e,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,f,i,a,e,t,EOS,
BOS,b,l,m,r,p,q,d,h,k,n,g,u,i,f,a,e,t,EOS,
BOS,b,l,j,o,p,q,c,h,k,n,u,g,i,f,a,e,t,EOS,
BOS,b,j,o,p,q,d,c,h,k,n,s,g,f,i,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,h,k,n,g,s,i,f,a,e,t,
BOS,b,j,o,p,q,d,c,h,k,n,g,s,f,i,a,e,t,EOS,
BOS,b,l,j,o,p,q,d,c,h,k,n,s,g,i,f,a,e,EOS,
BOS,b,l,m,r,p,q,d,c,h,k,n,g,f,i,a,e,t,EOS,
BOS,b,l,m,r,p,d,c,h,k,n,s,g,i,f,a,e,t,EOS,
