0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
BOS,i,f,n,u,g,d,h,t,p,a,q,l,u,l,o,r,c,b,m,e,EOS,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,s,d,k,EOS,,,,,,,,
BOS,i,f,n,r,g,d,h,t,p,a,q,l,u,l,o,r,c,b,s,j,s,k,EOS,,,,,,
BOS,p,i,f,g,n,d,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,m,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,m,k,p,EOS,,,,,,,,,,
BOS,i,f,n,g,u,d,h,t,p,a,l,u,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,b,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,o,r,c,m,b,s,k,EOS,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,o,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,n,p,a,l,u,l,q,u,l,u,o,r,c,b,s,j,s,e,EOS,,,
BOS,i,f,n,g,d,h,t,p,a,q,n,l,u,l,u,l,u,o,r,c,b,s,j,s,e,EOS,,,
BOS,i,h,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,g,a,l,q,u,l,u,l,o,r,c,b,s,j,s,j,s,j,k,EOS,
BOS,i,f,t,n,g,d,h,t,p,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,t,o,r,c,b,m,e,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,r,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,r,g,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,b,n,g,d,h,t,p,a,q,l,u,l,u,l,o,r,c,b,s,k,EOS,,,,,,
BOS,i,l,f,g,n,d,h,t,p,a,q,l,u,l,u,u,o,r,c,b,s,e,EOS,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,o,r,c,b,s,j,s,EOS,j,s,k,EOS,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,o,r,c,b,s,EOS,j,s,k,EOS,,,,,,
BOS,i,f,g,n,d,p,h,t,p,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,u,l,u,l,o,r,c,b,s,s,k,EOS,,,,,,
BOS,j,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,,,
BOS,i,f,g,n,c,d,h,t,p,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,
BOS,i,f,d,n,g,d,h,t,p,a,l,q,u,l,u,l,u,o,r,c,b,s,j,s,k,EOS,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,s,j,s,j,s,j,h,k,EOS,
BOS,i,f,g,n,n,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,m,k,EOS,,,,,,
BOS,i,f,n,g,h,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,s,j,s,j,s,e,EOS,
BOS,i,f,b,g,n,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,m,e,EOS,,,,,,
BOS,h,i,f,g,n,d,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,l,u,l,q,u,o,r,c,b,m,g,k,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,s,j,q,s,j,s,j,e,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,o,r,c,b,s,j,s,j,b,s,k,EOS,,,,
b,BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,o,r,c,b,m,e,EOS,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,l,q,o,r,c,b,m,e,BOS,EOS,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,b,u,l,o,r,c,b,m,e,EOS,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,u,l,u,f,q,l,o,r,c,b,m,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,u,r,c,b,m,e,EOS,,,,,,,,,,
BOS,e,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,
BOS,r,i,f,n,g,d,h,t,p,a,l,u,q,l,o,r,c,b,s,j,s,j,s,j,k,EOS,,,
BOS,i,f,g,n,d,h,t,p,a,a,l,u,l,u,l,u,q,o,r,c,b,m,k,EOS,,,,,
n,BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,s,k,EOS,,,,,,
BOS,i,f,n,g,d,h,t,c,p,a,q,l,o,r,c,b,s,e,EOS,,,,,,,,,,
BOS,i,f,n,g,j,d,h,t,p,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,k,EOS,,,,,,
BOS,i,f,n,g,d,c,h,t,p,a,l,q,o,r,c,b,m,e,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,h,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,s,j,s,j,s,j,k,f,EOS
BOS,i,f,g,n,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,s,k,r,EOS,,,,,,
BOS,i,f,g,n,d,h,l,t,p,a,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,
BOS,n,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,l,u,l,u,q,o,r,c,b,BOS,s,e,EOS,,,,,
