0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28
BOS,i,f,n,g,d,h,t,p,a,q,u,l,o,r,c,b,m,e,EOS,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,c,b,s,j,s,k,EOS,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,o,r,c,b,s,j,s,EOS,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,q,o,r,c,b,m,k,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,t,p,a,l,u,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,q,l,o,r,c,b,s,k,EOS,,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,l,q,o,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,l,q,u,l,u,o,r,c,b,s,j,s,e,EOS,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,c,b,s,j,s,e,EOS,,,,
BOS,i,f,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,u,l,u,l,o,r,c,b,s,s,j,s,j,j,k,EOS,
BOS,i,f,n,g,d,h,t,p,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,
BOS,i,f,n,g,d,h,t,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,o,r,c,b,s,EOS,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,s,e,EOS,,,,,,
BOS,i,f,g,n,d,h,t,a,q,l,u,l,u,l,o,r,c,b,s,j,s,j,s,k,EOS,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,r,c,b,s,j,s,k,EOS,,,,,,,
BOS,i,f,n,d,h,t,p,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,p,a,l,q,u,l,u,l,o,r,c,b,s,k,EOS,,,,,,,
BOS,i,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,,,,
BOS,i,f,n,d,h,t,p,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,,
i,f,n,g,d,h,t,p,a,l,q,u,l,u,l,u,o,r,c,b,s,j,s,k,EOS,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,u,l,o,r,c,s,j,s,j,s,j,k,EOS,,
BOS,i,f,g,n,d,h,t,p,a,l,u,q,l,u,l,o,r,c,m,k,EOS,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,s,j,s,j,s,EOS,,
BOS,i,f,g,n,d,h,t,p,a,l,u,q,u,l,o,r,c,b,m,e,EOS,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,q,o,r,c,b,m,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,l,u,l,q,u,o,r,b,m,k,EOS,,,,,,
