0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
BOS,i,f,n,g,d,h,t,p,a,q,l,u,p,o,r,c,b,m,e,EOS,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,j,k,EOS,,,,,,,,,
BOS,i,f,h,g,d,h,t,p,a,q,l,u,l,o,r,c,b,s,j,s,k,EOS,,,,,,,
r,i,f,g,n,d,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,b,c,b,s,e,EOS,,,,,,,,,,,
BOS,s,f,n,g,d,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,g,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,g,c,d,h,t,p,a,q,l,o,r,c,b,s,k,EOS,,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,q,q,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,m,n,g,d,h,t,p,a,l,u,l,q,u,l,u,o,r,c,b,s,j,s,e,EOS,,,,
BOS,i,f,n,g,d,h,t,c,a,q,l,u,l,u,l,u,o,r,c,b,s,j,s,e,EOS,,,,
BOS,i,f,n,g,d,h,t,c,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,,
BOS,EOS,f,n,g,d,h,t,p,a,l,q,u,l,u,l,o,r,c,b,s,j,s,j,s,j,k,EOS,,
BOS,i,f,n,g,d,h,t,BOS,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,,
BOS,i,f,a,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,l,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,m,BOS,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,EOS,l,o,r,c,b,s,k,EOS,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,u,EOS,r,c,b,s,e,EOS,,,,,,
BOS,i,f,g,n,d,i,t,p,a,q,l,u,l,u,l,o,r,c,b,s,j,s,j,s,k,EOS,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,o,r,c,b,a,j,s,k,EOS,,,,,,,
BOS,i,f,g,t,d,h,t,p,a,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,e,g,d,h,t,p,a,l,q,u,l,u,l,o,r,c,b,s,k,EOS,,,,,,,
d,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,s,e,EOS,,,,,,,,,
BOS,p,f,g,n,d,h,t,p,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,u,l,u,l,u,o,r,c,b,s,j,s,n,EOS,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,u,k,o,r,c,b,s,j,s,j,s,j,k,EOS,,
BOS,i,f,g,n,d,h,t,p,a,l,u,q,l,i,l,o,r,c,b,m,k,EOS,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,f,c,b,s,j,s,j,s,e,EOS,,
BOS,i,f,g,n,d,h,t,p,a,l,u,q,l,u,l,o,r,k,b,m,e,EOS,,,,,,,
BOS,i,f,u,n,d,h,t,p,a,l,q,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,i,u,l,u,l,q,u,l,o,r,c,b,m,k,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,q,o,r,c,b,s,j,s,j,s,i,e,EOS,,,,,,
BOS,i,f,n,g,d,u,t,p,a,q,l,u,l,o,r,c,b,s,j,s,j,s,k,EOS,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,d,l,o,r,c,b,m,e,EOS,,,,,,,,,
f,i,f,n,g,d,h,t,p,a,l,u,l,q,o,r,c,b,m,e,EOS,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,BOS,r,c,b,m,e,EOS,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,u,l,k,q,l,o,r,c,b,m,e,EOS,,,,,,,
BOS,j,f,n,g,d,h,t,p,a,q,l,o,r,c,b,m,e,EOS,,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,r,l,u,l,u,l,u,o,r,c,b,m,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,o,o,r,c,b,s,j,s,j,s,j,k,EOS,,,,
BOS,i,f,g,n,d,h,t,p,a,l,u,j,u,l,u,q,l,o,r,c,b,m,k,EOS,,,,,
BOS,i,f,n,g,d,h,t,p,a,l,u,q,l,u,l,o,r,c,b,e,k,EOS,,,,,,,
BOS,i,f,u,g,d,h,t,p,a,q,l,o,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,t,q,l,o,r,c,b,m,k,EOS,,,,,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,q,l,u,l,u,l,u,o,q,c,b,m,k,EOS,,,,,,
BOS,i,f,n,g,d,h,k,p,a,l,q,o,r,c,b,m,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,m,k,q,,,,,,,,,,,
t,i,f,n,g,d,h,t,p,a,q,l,u,l,u,l,u,o,r,c,b,s,j,s,j,s,j,k,EOS,
BOS,i,f,g,n,d,h,t,p,a,s,u,q,l,u,l,o,r,c,b,s,k,EOS,,,,,,,
BOS,i,f,g,n,d,h,t,p,a,l,n,o,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,f,n,g,d,h,t,p,a,b,q,o,r,c,b,s,e,EOS,,,,,,,,,,,
BOS,i,f,n,d,d,h,t,p,a,l,u,l,u,l,u,q,o,r,c,b,s,e,EOS,,,,,,
BOS,i,f,n,g,d,h,t,p,a,q,l,o,r,c,b,s,j,s,BOS,EOS,,,,,,,,,
