0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BOS,d,k,q,c,f,n,b,j,r,g,h,a,p,s,t,EOS,,,,
BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,p,s,t,,,,
BOS,d,k,q,c,f,n,b,e,h,a,s,p,t,EOS,,,,,,
BOS,d,k,q,c,u,f,n,b,e,h,p,s,t,EOS,,,,,,
BOS,d,i,m,l,q,c,u,f,n,b,j,r,g,h,a,p,s,t,EOS,
BOS,d,k,q,c,u,f,n,e,h,a,p,t,s,EOS,,,,,,
BOS,d,i,m,l,o,q,c,f,n,b,j,r,g,h,a,s,p,t,EOS,
BOS,d,k,q,c,u,f,n,b,g,j,r,a,s,p,t,EOS,,,,
BOS,d,k,c,u,f,n,b,e,h,a,p,t,s,EOS,,,,,,
BOS,d,i,m,o,l,q,u,f,n,b,e,h,a,s,p,t,EOS,,,
BOS,d,k,q,c,u,f,n,e,h,a,s,p,t,EOS,,,,,,
BOS,d,i,m,l,o,q,c,u,f,b,e,h,a,p,t,s,EOS,,,
BOS,i,m,o,l,q,c,u,f,n,b,g,r,j,h,a,s,p,t,EOS,
BOS,i,m,l,o,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,,
BOS,d,i,m,o,l,q,c,u,f,n,b,j,r,g,h,a,p,t,EOS,
BOS,d,i,m,l,o,q,c,u,f,n,b,e,h,p,t,s,EOS,,,
BOS,d,i,m,l,o,q,c,u,f,n,r,j,g,h,a,p,t,s,EOS,
BOS,d,k,q,c,u,f,n,b,e,h,p,t,s,EOS,,,,,,
BOS,d,k,q,c,u,f,n,g,j,r,h,a,s,p,t,EOS,,,,
BOS,d,k,q,c,u,n,b,g,j,r,h,a,p,t,s,EOS,,,,
BOS,d,i,m,o,l,q,c,f,n,b,e,h,a,s,p,t,EOS,,,
BOS,d,i,m,o,l,q,c,f,n,b,e,h,a,s,p,t,EOS,,,
BOS,d,k,q,c,f,n,b,e,h,a,s,p,t,EOS,,,,,,
BOS,d,m,o,l,q,c,u,f,n,b,g,j,r,h,a,p,t,s,EOS,
BOS,d,k,q,c,u,f,n,b,e,h,s,p,t,EOS,,,,,,
BOS,d,k,q,c,u,f,b,g,j,r,h,a,p,s,t,EOS,,,,
BOS,d,i,m,l,o,c,u,f,n,b,e,h,a,p,s,t,EOS,,,
BOS,d,k,q,c,u,f,n,b,g,j,h,a,s,p,t,EOS,,,,
BOS,d,i,m,o,l,q,c,u,f,n,b,g,j,r,h,p,s,t,EOS,
d,i,m,l,o,q,c,u,f,n,b,j,g,r,h,a,s,p,t,EOS,
BOS,d,k,c,u,f,n,b,r,j,g,h,a,s,p,t,EOS,,,,
BOS,d,k,q,c,u,f,n,b,h,a,p,t,s,EOS,,,,,,
d,i,m,o,l,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,,
BOS,d,k,q,c,u,f,n,b,e,h,a,s,t,EOS,,,,,,
BOS,d,m,l,o,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,,
d,i,m,l,o,q,c,u,f,n,b,j,g,r,h,a,s,p,t,EOS,
BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,s,t,EOS,,,,
BOS,d,k,q,c,u,f,n,r,j,g,h,a,s,p,t,EOS,,,,
BOS,d,i,m,l,o,q,c,u,f,n,b,j,g,h,a,s,p,t,EOS,
BOS,d,i,m,l,o,q,c,u,f,n,b,j,r,g,h,a,t,s,EOS,
BOS,d,i,m,o,l,q,c,u,f,n,b,r,g,h,a,s,p,t,EOS,
BOS,d,i,m,o,l,q,c,u,f,n,b,g,j,r,h,a,s,p,t,
BOS,d,k,q,c,u,f,n,b,e,h,p,s,t,EOS,,,,,,
BOS,d,i,m,l,q,c,u,f,n,b,r,g,j,h,a,s,p,t,EOS,
d,k,q,c,u,f,n,b,r,g,j,h,a,p,s,t,EOS,,,,
