0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
BOS,d,n,q,c,u,f,n,b,j,r,g,h,a,p,s,t,EOS,,,
BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,p,s,h,EOS,,,
a,d,k,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,d,k,q,c,u,f,n,b,e,h,a,p,u,t,EOS,,,,,
BOS,q,i,m,l,o,q,c,u,f,n,b,j,r,g,h,a,p,s,t,EOS
BOS,d,k,q,c,u,f,n,b,e,h,r,p,t,s,EOS,,,,,
BOS,d,i,m,s,o,q,c,u,f,n,b,j,r,g,h,a,s,p,t,EOS
BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,s,p,h,EOS,,,
BOS,u,k,q,c,u,f,n,b,e,h,a,p,t,s,EOS,,,,,
BOS,d,i,m,o,l,q,c,u,f,n,b,s,h,a,s,p,t,EOS,,
BOS,d,k,q,g,u,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,d,i,m,l,o,q,c,u,f,n,b,e,h,a,p,t,s,i,,
BOS,d,i,m,o,e,q,c,u,f,n,b,g,r,j,h,a,s,p,t,EOS
BOS,d,i,m,l,d,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,
BOS,d,i,m,o,l,q,c,u,f,n,b,j,r,g,h,a,EOS,p,t,EOS
BOS,d,i,m,l,o,q,u,u,f,n,b,e,h,a,p,t,s,EOS,,
BOS,d,i,m,l,o,q,c,u,s,n,b,r,j,g,h,a,p,t,s,EOS
BOS,d,k,q,c,p,f,n,b,e,h,a,p,t,s,EOS,,,,,
BOS,d,h,q,c,u,f,n,b,g,j,r,h,a,s,p,t,EOS,,,
BOS,d,k,q,c,q,f,n,b,g,j,r,h,a,p,t,s,EOS,,,
a,d,i,m,o,l,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,
BOS,d,i,m,o,l,k,c,u,f,n,b,e,h,a,s,p,t,EOS,,
BOS,d,k,h,c,u,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,d,i,m,o,l,q,c,q,f,n,b,g,j,r,h,a,p,t,s,EOS
BOS,d,k,q,c,u,f,n,q,e,h,a,s,p,t,EOS,,,,,
BOS,d,k,q,h,u,f,n,b,g,j,r,h,a,p,s,t,EOS,,,
BOS,d,i,m,l,o,q,c,u,k,n,b,e,h,a,p,s,t,EOS,,
BOS,d,k,q,c,u,f,n,a,r,g,j,h,a,s,p,t,EOS,,,
BOS,d,i,m,o,l,q,c,u,f,k,b,g,j,r,h,a,p,s,t,EOS
BOS,d,i,m,l,o,q,c,u,f,n,f,j,g,r,h,a,s,p,t,EOS
BOS,d,k,q,c,u,r,n,b,r,j,g,h,a,s,p,t,EOS,,,
BOS,d,a,q,c,u,f,n,b,e,h,a,p,t,s,EOS,,,,,
o,d,i,m,o,l,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,
BOS,d,k,q,c,u,f,n,b,e,h,a,p,EOS,t,EOS,,,,,
BOS,d,i,m,l,o,q,c,u,f,n,b,e,h,a,p,s,BOS,EOS,,
BOS,d,i,m,l,o,q,c,u,f,n,b,j,g,r,h,a,s,p,t,h
BOS,d,k,q,c,u,f,n,b,g,j,r,h,a,s,p,b,EOS,,,
BOS,d,k,q,c,BOS,f,n,b,r,j,g,h,a,s,p,t,EOS,,,
BOS,d,i,b,l,o,q,c,u,f,n,b,r,j,g,h,a,s,p,t,EOS
BOS,d,i,m,l,o,q,c,u,f,n,b,j,r,g,h,a,p,t,s,EOS
BOS,d,i,m,o,l,q,c,u,f,n,b,m,g,j,h,a,s,p,t,EOS
BOS,d,i,m,o,l,q,c,u,f,n,b,g,j,r,h,a,s,p,t,g
BOS,d,k,q,c,u,f,n,b,e,h,b,p,s,t,EOS,,,,,
BOS,d,i,m,o,l,q,c,u,f,g,b,r,g,j,h,a,s,p,t,EOS
BOS,d,k,q,c,u,f,n,b,r,g,j,m,a,p,s,t,EOS,,,
BOS,d,i,m,EOS,o,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,
d,d,i,m,l,o,q,c,u,f,n,b,e,h,a,p,s,t,EOS,,
BOS,d,k,q,c,u,f,n,i,e,h,a,s,p,t,EOS,,,,,
d,d,k,q,c,u,f,n,b,e,h,a,s,p,t,EOS,,,,,
BOS,d,i,m,o,l,q,c,u,r,n,b,j,r,g,h,a,s,p,t,EOS
BOS,d,i,m,o,l,q,c,u,f,n,b,r,j,g,h,f,s,p,t,EOS
BOS,d,i,m,l,o,q,c,u,f,n,b,e,h,a,s,h,t,EOS,,
e,d,i,m,l,o,q,c,u,f,n,b,g,j,r,h,a,p,t,s,EOS
