0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
c,q,l,g,h,q,m,o,e,m,o,e,m,a,d,f,k,,
c,l,h,g,h,q,m,a,d,k,f,,,,,,,,
c,l,g,m,a,h,q,a,d,k,f,,,,,,,,
c,l,g,c,m,h,o,q,e,m,o,e,m,o,e,a,d,f,k
i,p,n,b,m,a,d,f,k,,,,,,,,,,
c,l,g,h,m,f,o,e,q,m,a,d,f,k,,,,,
q,c,l,g,h,m,o,q,e,m,o,e,m,o,e,a,d,k,f
c,l,g,m,h,o,e,q,m,a,d,m,f,k,,,,,
i,j,n,b,m,a,d,k,f,,,,,,,,,,
c,l,g,m,h,o,q,e,c,m,a,d,k,f,,,,,
c,a,l,g,m,h,o,q,e,m,a,d,f,k,,,,,
i,p,n,b,a,d,f,o,k,,,,,,,,,,
c,l,g,e,h,m,o,q,e,m,o,e,m,o,a,d,f,k,
c,l,g,h,j,q,m,a,d,f,k,,,,,,,,
c,l,g,p,h,m,q,a,d,k,f,,,,,,,,
c,l,g,h,m,o,c,e,m,o,e,q,m,o,e,a,d,k,f
c,n,l,g,m,h,o,q,e,m,o,e,m,a,d,f,k,,
c,l,g,h,m,o,q,e,m,a,d,f,q,k,,,,,
c,l,g,m,h,q,o,e,m,o,l,e,m,a,d,k,f,,
i,p,n,b,a,d,o,f,k,,,,,,,,,,
i,p,f,b,n,a,d,f,k,,,,,,,,,,
o,c,l,g,m,h,q,a,d,k,f,,,,,,,,
i,p,p,n,b,a,d,f,k,,,,,,,,,,
i,c,j,n,b,a,d,k,f,,,,,,,,,,
i,p,n,b,b,a,d,k,f,,,,,,,,,,
c,l,e,g,h,q,m,a,d,k,f,,,,,,,,
c,l,g,h,k,q,m,a,d,k,f,,,,,,,,
c,l,g,m,o,h,q,e,m,o,e,m,o,e,a,d,k,f,
i,p,n,b,a,c,d,k,f,,,,,,,,,,
c,l,g,m,o,h,e,q,m,o,e,m,a,d,a,k,f,,
i,j,b,n,a,d,a,f,k,,,,,,,,,,
c,l,g,m,o,h,a,e,q,m,a,d,k,f,,,,,
c,l,e,g,m,h,o,q,e,m,a,d,f,k,,,,,
c,l,g,m,o,h,e,m,q,c,a,d,f,k,,,,,
i,p,n,b,a,d,f,k,f,,,,,,,,,,
i,p,c,n,b,a,d,k,f,,,,,,,,,,
q,i,j,n,b,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,c,a,d,k,f
c,l,g,j,h,q,m,a,d,k,f,,,,,,,,
i,p,b,b,n,a,d,f,k,,,,,,,,,,
c,f,l,g,h,q,m,o,e,m,o,e,m,a,d,f,k,,
c,l,g,m,f,o,e,h,q,m,o,e,m,o,e,a,d,k,f
c,l,g,h,m,q,o,e,m,a,h,d,k,f,,,,,
c,l,g,h,q,m,o,e,m,e,o,e,m,o,a,d,f,k,
i,j,n,b,a,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,e,q,m,g,a,d,k,f,,,,,
c,l,g,m,h,o,e,q,e,m,a,d,f,k,,,,,
c,l,g,h,q,m,c,o,e,m,a,d,k,f,,,,,
i,p,b,n,a,l,d,k,f,,,,,,,,,,
m,c,l,g,h,q,m,o,e,m,o,e,a,d,f,k,,,
i,p,b,p,n,a,d,k,f,,,,,,,,,,
c,l,g,m,o,e,m,h,q,o,e,m,o,e,k,a,d,f,k
c,l,g,m,h,o,e,m,q,a,d,n,k,f,,,,,
i,p,n,b,a,d,k,e,f,,,,,,,,,,
c,l,g,h,q,m,k,o,e,m,a,d,f,k,,,,,
i,j,b,p,n,a,d,k,f,,,,,,,,,,
i,g,p,b,n,a,d,f,k,,,,,,,,,,
i,p,b,n,a,o,d,f,k,,,,,,,,,,
i,p,d,b,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,l,d,f,k,,,,,,,,,,
c,l,g,h,m,d,o,e,q,m,a,d,k,f,,,,,
c,p,l,g,h,m,q,a,d,k,f,,,,,,,,
c,c,l,g,m,h,q,o,e,m,o,e,m,a,d,k,f,,
i,p,n,b,a,n,d,f,k,,,,,,,,,,
i,p,f,n,b,a,d,k,f,,,,,,,,,,
i,j,q,n,b,a,d,f,k,,,,,,,,,,
c,l,g,m,o,e,m,o,e,h,h,q,m,a,d,f,k,,
c,l,g,e,h,m,o,q,e,m,a,d,f,k,,,,,
i,j,n,b,a,q,d,k,f,,,,,,,,,,
c,l,g,h,m,o,e,m,e,o,e,q,m,o,a,d,k,f,
i,j,b,n,n,a,d,f,k,,,,,,,,,,
c,l,g,h,m,i,o,e,q,m,a,d,f,k,,,,,
c,l,g,m,o,e,n,m,o,e,m,o,h,q,e,a,d,k,f
i,p,d,b,n,a,d,k,f,,,,,,,,,,
i,p,p,b,n,a,d,f,k,,,,,,,,,,
i,g,p,b,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,d,n,f,k,,,,,,,,,,
c,l,g,h,q,m,o,c,e,m,a,d,k,f,,,,,
c,l,g,h,o,m,q,a,d,f,k,,,,,,,,
i,c,p,b,n,a,d,f,k,,,,,,,,,,
i,j,m,b,n,a,d,k,f,,,,,,,,,,
i,p,n,b,h,a,d,f,k,,,,,,,,,,
c,l,g,h,m,o,e,m,o,p,e,q,m,a,d,k,f,,
c,l,g,h,m,o,e,q,m,o,e,m,o,e,q,a,d,k,f
c,l,g,h,m,q,m,o,e,m,o,e,a,d,k,f,,,
i,o,p,n,b,a,d,f,k,,,,,,,,,,
i,j,n,b,m,a,d,k,f,,,,,,,,,,
i,j,n,b,a,h,d,k,f,,,,,,,,,,
i,j,n,b,a,k,d,k,f,,,,,,,,,,
i,j,b,f,n,a,d,k,f,,,,,,,,,,
i,j,b,n,a,d,i,f,k,,,,,,,,,,
i,p,n,h,b,a,d,k,f,,,,,,,,,,
c,l,g,m,h,q,o,a,e,m,o,e,m,a,d,k,f,,
i,j,n,b,a,d,d,k,f,,,,,,,,,,
c,g,l,g,m,o,h,q,e,m,o,e,m,o,e,a,d,k,f
o,i,p,b,n,a,d,k,f,,,,,,,,,,
i,i,j,n,b,a,d,f,k,,,,,,,,,,
i,p,i,b,n,a,d,k,f,,,,,,,,,,
c,l,g,h,q,m,a,d,f,j,k,,,,,,,,
c,l,g,m,h,o,e,m,o,q,e,m,o,e,a,d,f,p,k
g,i,p,n,b,a,d,k,f,,,,,,,,,,
c,l,g,m,o,e,h,l,m,o,e,q,m,a,d,k,f,,
