0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
c,l,g,h,q,m,o,e,m,o,e,m,d,f,k,,,
c,l,g,h,q,m,d,k,f,,,,,,,,,
l,g,m,h,q,a,d,k,f,,,,,,,,,
l,g,m,h,o,q,e,m,o,e,m,o,e,a,d,f,k,
i,p,b,a,d,f,k,,,,,,,,,,,
c,l,g,h,m,e,q,m,a,d,f,k,,,,,,
c,l,g,h,m,q,e,m,o,e,m,o,e,o,a,d,k,f
c,l,g,m,h,o,e,m,a,d,f,k,,,,,,
j,n,b,a,d,k,f,,,,,,,,,,,
c,l,g,m,o,q,e,m,a,d,k,f,,,,,,
c,l,g,m,h,o,q,m,a,d,f,k,,,,,,
p,n,b,a,d,f,k,,,,,,,,,,,
c,l,g,h,m,o,e,m,o,e,m,o,e,a,d,f,k,
c,l,g,h,q,m,a,d,k,,,,,,,,,
c,l,g,h,q,a,d,k,f,,,,,,,,,
c,l,g,h,m,o,e,m,o,e,q,m,o,e,a,d,k,f
c,l,g,m,h,o,q,e,m,o,e,m,a,d,f,,,
c,l,g,h,m,o,q,e,m,a,f,k,,,,,,
c,l,g,m,h,q,e,m,o,e,m,a,d,k,f,,,
i,p,n,b,a,f,k,,,,,,,,,,,
i,p,b,n,d,f,k,,,,,,,,,,,
c,l,g,m,q,a,d,k,f,,,,,,,,,
i,p,n,b,d,f,k,,,,,,,,,,,
j,n,b,a,d,k,f,,,,,,,,,,,
p,n,b,a,d,k,f,,,,,,,,,,,
c,l,g,h,m,a,d,k,f,,,,,,,,,
c,l,h,q,m,a,d,k,f,,,,,,,,,
c,l,g,m,o,h,q,e,m,o,e,o,e,m,a,d,k,f
i,n,b,a,d,k,f,,,,,,,,,,,
l,g,m,o,h,e,q,m,o,e,m,a,d,k,f,,,
i,b,n,a,d,f,k,,,,,,,,,,,
c,l,g,m,o,h,e,q,m,a,d,k,,,,,,
c,l,g,m,h,o,q,e,m,a,d,f,,,,,,
c,l,g,m,o,h,e,m,q,d,f,k,,,,,,
i,p,n,b,d,k,f,,,,,,,,,,,
p,n,b,a,d,k,f,,,,,,,,,,,
i,j,n,b,a,d,k,,,,,,,,,,,
c,l,g,h,m,o,q,e,m,o,m,o,e,a,d,k,f,
c,l,g,h,q,m,a,d,f,,,,,,,,,
i,b,n,a,d,f,k,,,,,,,,,,,
c,l,g,q,m,o,e,m,o,e,m,a,d,f,k,,,
c,l,g,m,o,e,h,q,m,o,e,m,o,e,a,d,f,
c,l,g,h,q,o,e,m,a,d,k,f,,,,,,
c,l,h,q,m,o,e,m,o,e,m,o,e,a,d,f,k,
i,n,b,a,d,f,k,,,,,,,,,,,
c,l,g,h,m,o,e,q,m,a,k,f,,,,,,
c,l,g,m,h,o,q,e,m,d,f,k,,,,,,
c,l,h,q,m,o,e,m,a,d,k,f,,,,,,
i,p,b,a,d,k,f,,,,,,,,,,,
c,l,g,h,q,m,o,e,m,o,e,m,a,d,f,,,
i,b,n,a,d,k,f,,,,,,,,,,,
c,l,g,m,o,e,m,h,q,o,e,m,o,e,a,d,f,k
c,l,g,m,h,o,m,q,a,d,k,f,,,,,,
i,p,n,b,a,d,f,,,,,,,,,,,
c,l,g,h,q,m,o,e,m,d,f,k,,,,,,
j,b,n,a,d,k,f,,,,,,,,,,,
i,b,n,a,d,f,k,,,,,,,,,,,
p,b,n,a,d,f,k,,,,,,,,,,,
p,b,n,a,d,k,f,,,,,,,,,,,
i,j,b,n,a,d,k,,,,,,,,,,,
c,l,g,m,o,e,q,m,a,d,k,f,,,,,,
c,g,h,m,q,a,d,k,f,,,,,,,,,
c,l,g,m,h,q,o,e,m,e,m,a,d,k,f,,,
i,p,n,b,d,f,k,,,,,,,,,,,
i,n,b,a,d,k,f,,,,,,,,,,,
i,j,n,b,a,f,k,,,,,,,,,,,
c,l,g,o,e,m,o,e,h,q,m,a,d,f,k,,,
c,l,g,h,m,q,e,m,a,d,f,k,,,,,,
j,n,b,a,d,k,f,,,,,,,,,,,
c,l,g,h,m,o,e,m,o,e,q,o,e,m,a,d,k,f
i,j,b,n,a,d,k,,,,,,,,,,,
c,l,g,h,m,e,q,m,a,d,f,k,,,,,,
c,l,g,m,o,e,m,o,e,o,h,q,e,m,a,d,k,f
i,p,n,a,d,k,f,,,,,,,,,,,
i,p,b,n,a,f,k,,,,,,,,,,,
p,b,n,a,d,k,f,,,,,,,,,,,
i,j,b,n,d,f,k,,,,,,,,,,,
