0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
c,l,g,h,q,m,o,e,m,o,e,m,a,e,f,k,,,
c,l,g,p,q,m,a,d,k,f,,,,,,,,,
c,l,g,d,h,q,a,d,k,f,,,,,,,,,
c,l,g,m,h,o,q,e,m,o,e,m,o,e,f,d,f,k,
g,p,n,b,a,d,f,k,,,,,,,,,,,
c,l,g,h,m,o,e,q,m,c,d,f,k,,,,,,
c,l,m,h,m,o,q,e,m,o,e,o,e,a,d,k,f,,
c,l,g,q,h,o,e,q,m,a,d,f,k,,,,,,
i,j,n,b,d,d,k,f,,,,,,,,,,,
c,l,g,m,h,c,q,e,m,a,d,k,f,,,,,,
c,l,g,m,h,o,q,e,m,a,d,f,c,,,,,,
i,q,n,b,a,d,f,k,,,,,,,,,,,
l,l,g,h,m,o,q,e,m,o,e,m,o,e,a,d,f,k,
a,l,g,h,q,m,a,d,f,k,,,,,,,,,
c,l,g,h,m,q,a,q,k,f,,,,,,,,,
c,l,g,h,m,o,e,m,o,i,q,m,o,e,e,a,d,k,f
c,l,g,m,h,o,q,e,m,o,e,m,a,f,f,k,,,
c,l,g,a,m,o,q,e,m,a,d,f,k,,,,,,
c,p,g,m,h,q,o,e,m,o,e,m,a,d,k,f,,,
i,p,n,b,a,p,f,k,,,,,,,,,,,
i,p,b,n,a,d,p,k,,,,,,,,,,,
c,l,j,m,h,q,a,d,k,f,,,,,,,,,
i,p,n,b,a,d,f,o,,,,,,,,,,,
i,j,n,b,a,d,k,a,,,,,,,,,,,
i,p,n,b,a,m,k,f,,,,,,,,,,,
c,l,g,o,q,m,a,d,k,f,,,,,,,,,
c,l,g,h,q,d,a,d,k,f,,,,,,,,,
c,l,g,m,o,h,q,e,m,o,e,m,o,e,a,d,k,f,
i,p,n,b,a,d,k,f,,,,,,,,,,,
c,l,g,m,h,h,e,q,m,o,e,m,a,d,k,f,,,
i,j,b,k,a,d,f,k,,,,,,,,,,,
c,l,g,l,o,h,e,q,m,a,d,k,f,,,,,,
c,l,g,m,h,n,q,e,m,a,d,f,k,,,,,,
c,l,g,p,o,h,e,m,q,a,d,f,k,,,,,,
i,p,n,b,a,d,k,k,,,,,,,,,,,
i,p,n,b,a,d,k,j,,,,,,,,,,,
i,j,n,n,a,d,f,k,,,,,,,,,,,
c,l,g,h,m,o,q,e,m,o,e,m,o,e,a,d,k,n,
c,l,g,h,q,m,a,d,k,h,,,,,,,,,
i,d,b,n,a,d,f,k,,,,,,,,,,,
c,l,g,h,q,m,o,c,m,o,e,m,a,d,f,k,,,
c,l,g,m,o,e,h,q,m,o,e,m,o,e,a,d,i,f,
c,l,g,h,m,p,o,e,m,a,d,k,f,,,,,,
c,l,g,h,q,c,o,e,m,o,e,m,o,e,m,a,d,f,k
i,m,n,b,a,d,f,k,,,,,,,,,,,
