0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
b,q,e,w,o,g,p,y,v,y,v,y,v,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,x,c,o,e,w,x,c,o,z,p,y,d,n,t,m,f,u,a,k,,,,,,,,,,,,,,,
b,e,i,w,x,c,e,w,o,z,p,y,d,n,t,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,
b,t,e,w,o,g,h,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,r,e,w,x,c,e,w,x,c,e,w,x,c,o,z,p,y,d,n,t,r,aa,n,t,r,aa,n,t,m,f,u,a,k,,,,,,,
b,e,w,x,c,e,w,x,g,c,e,w,x,c,o,g,p,y,v,y,d,i,s,m,f,u,a,k,,,,,,,,,,,,,
b,e,w,o,m,z,h,d,q,j,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,g,p,y,d,q,j,m,f,u,a,a,k,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,g,h,d,i,s,m,f,e,u,a,k,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,d,c,e,w,o,g,p,y,v,y,v,y,v,d,q,j,m,f,u,a,k,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,x,c,e,w,x,c,z,o,z,p,y,d,n,t,r,aa,n,t,r,aa,n,t,r,aa,m,f,u,a,k,,,,,
b,e,w,x,c,e,w,x,c,e,w,o,z,h,d,n,t,m,b,f,u,a,k,,,,,,,,,,,,,,,,,,
b,e,w,e,o,z,p,y,d,q,j,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,z,p,y,v,y,r,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,h,d,q,j,n,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,m,z,h,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,b,w,o,g,p,y,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,z,p,y,d,q,j,f,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,p,y,u,d,l,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,k,w,x,c,e,w,o,g,h,d,l,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,
b,s,e,w,o,z,p,y,d,q,j,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,z,h,d,n,t,r,aa,n,t,m,g,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,p,f,y,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,p,y,d,n,n,t,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,
