0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
b,v,w,o,g,p,y,v,y,v,y,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,x,c,e,w,x,c,b,o,z,p,y,d,n,t,m,f,u,a,k,,,,,,,,,,,,,,,
b,aa,w,x,c,e,w,o,z,p,y,d,n,t,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,o,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,x,c,e,w,x,c,o,z,b,y,d,n,t,r,aa,n,t,r,aa,n,t,m,f,u,a,k,,,,,,,,
b,o,w,x,c,e,w,x,c,e,w,x,c,e,o,g,p,y,v,y,d,i,s,m,f,u,a,k,,,,,,,,,,,,,
k,e,w,o,z,h,d,q,j,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,g,p,y,d,e,j,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,g,h,d,i,s,m,f,i,a,k,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,g,p,y,v,y,v,y,v,d,q,j,m,f,u,d,k,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,x,c,e,w,x,c,i,z,p,y,d,n,t,r,aa,n,t,r,aa,n,t,r,aa,m,f,u,a,k,,,,,,
b,e,w,x,c,e,w,x,c,e,w,o,z,h,d,c,t,m,f,u,a,k,,,,,,,,,,,,,,,,,,,
b,e,w,o,z,p,y,d,q,j,m,o,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,x,c,e,w,o,z,p,y,v,y,d,z,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,h,d,q,j,m,f,u,a,v,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,u,h,d,i,s,m,f,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,,
b,e,w,o,g,p,y,d,i,s,m,e,u,a,k,,,,,,,,,,,,,,,,,,,,,,,,,,
