0,1,2,3,4,5,6,7,8,9,10
BOS,i,g,q,e,s,b,l,j,EOS,
BOS,g,i,h,e,s,b,l,j,EOS,
BOS,g,i,h,k,s,b,l,j,EOS,
BOS,i,h,g,k,e,s,b,l,j,
BOS,m,c,f,n,d,t,u,o,EOS,
BOS,a,c,m,f,n,t,u,o,EOS,
BOS,i,p,k,e,s,b,l,j,EOS,
BOS,c,m,f,n,d,t,u,o,EOS,
BOS,g,i,p,k,e,s,l,j,EOS,
BOS,g,i,k,e,s,b,l,j,EOS,
BOS,g,i,p,e,s,b,l,j,EOS,
BOS,i,g,h,k,e,s,b,j,EOS,
BOS,i,q,g,k,e,b,l,j,EOS,
BOS,g,i,q,k,s,b,l,j,EOS,
BOS,g,i,q,k,e,s,b,l,EOS,
BOS,i,g,p,e,s,b,l,j,EOS,
BOS,i,g,p,k,e,s,l,j,EOS,
BOS,a,m,c,f,n,r,o,EOS,,
BOS,a,c,f,m,n,t,u,o,EOS,
BOS,c,f,n,d,a,t,u,o,EOS,
BOS,c,f,a,n,r,u,o,EOS,,
c,a,m,f,n,r,u,o,EOS,,
BOS,c,a,n,d,m,t,u,o,EOS,
BOS,c,a,m,f,n,d,t,u,o,
BOS,c,m,f,n,d,t,u,o,EOS,
BOS,g,i,q,k,s,b,l,j,EOS,
i,h,g,k,e,s,b,l,j,EOS,
BOS,c,f,m,n,r,u,o,EOS,,
BOS,c,a,f,n,d,t,u,o,EOS,
BOS,a,c,f,n,d,t,u,o,EOS,
BOS,c,m,f,n,r,u,o,EOS,,
BOS,a,m,c,f,n,u,o,EOS,,
BOS,g,i,h,k,s,b,l,j,EOS,
BOS,i,q,g,k,e,s,l,j,EOS,
BOS,a,f,m,n,r,u,o,EOS,,
BOS,g,i,p,k,s,b,l,j,EOS,
g,i,p,k,e,s,b,l,j,EOS,
BOS,a,m,f,n,d,t,u,o,EOS,
BOS,g,i,h,k,s,b,l,j,EOS,
BOS,a,m,f,n,r,u,o,EOS,,
BOS,i,q,k,e,s,b,l,j,EOS,
BOS,h,g,k,e,s,b,l,j,EOS,
BOS,i,p,g,k,e,b,l,j,EOS,
BOS,i,g,q,k,e,s,l,j,EOS,
BOS,i,p,g,k,e,b,l,j,EOS,
BOS,c,m,f,n,d,t,u,o,EOS,
i,q,g,k,e,s,b,l,j,EOS,
BOS,c,f,n,a,d,t,u,o,EOS,
BOS,g,i,q,k,e,s,b,l,j,
BOS,c,a,f,n,r,u,m,o,,
BOS,i,q,k,e,s,b,l,j,EOS,
a,c,f,n,r,m,u,o,EOS,,
BOS,i,p,g,e,s,b,l,j,EOS,
BOS,g,i,h,k,e,s,b,l,EOS,
BOS,m,c,f,n,r,u,o,EOS,,
BOS,i,q,k,e,s,b,l,j,EOS,
c,a,m,f,n,d,t,u,o,EOS,
BOS,c,f,a,m,r,u,o,EOS,,
BOS,c,m,f,n,r,u,o,EOS,,
BOS,a,c,m,f,r,u,o,EOS,,
BOS,i,h,k,e,s,b,l,j,EOS,
BOS,a,c,f,n,d,t,u,o,EOS,
BOS,c,f,n,m,d,t,u,o,EOS,
BOS,a,c,m,f,n,d,t,o,EOS,
BOS,a,m,f,n,r,u,o,EOS,,
BOS,c,a,f,m,r,u,o,EOS,,
BOS,a,c,m,f,n,d,t,u,EOS,
BOS,g,p,k,e,s,b,l,j,EOS,
BOS,c,f,a,m,d,t,u,o,EOS,
BOS,i,p,k,e,s,b,l,j,EOS,
BOS,g,i,h,k,e,s,b,j,EOS,
