0,1,2,3,4,5,6,7,8,9,10
BOS,i,g,q,k,a,s,b,l,j,EOS
g,g,i,h,k,e,s,b,l,j,EOS
BOS,g,r,h,k,e,s,b,l,j,EOS
BOS,i,h,l,k,e,s,b,l,j,EOS
BOS,p,m,c,f,n,d,t,u,o,EOS
BOS,a,g,m,f,n,d,t,u,o,EOS
BOS,i,p,m,k,e,s,b,l,j,EOS
BOS,a,c,m,f,n,d,t,g,o,EOS
l,g,i,p,k,e,s,b,l,j,EOS
BOS,g,i,h,k,e,s,b,c,j,EOS
BOS,g,i,c,k,e,s,b,l,j,EOS
BOS,i,g,h,k,k,s,b,l,j,EOS
BOS,i,t,g,k,e,s,b,l,j,EOS
u,g,i,q,k,e,s,b,l,j,EOS
BOS,g,i,q,k,e,s,b,l,j,j
BOS,i,g,p,k,e,s,b,l,j,e
BOS,i,g,p,k,e,s,b,l,j,e
BOS,a,m,c,f,n,d,u,o,EOS,
BOS,a,c,f,m,n,d,t,f,o,EOS
k,c,f,n,d,a,t,u,o,m,EOS
BOS,c,t,a,m,n,r,u,o,EOS,
BOS,c,a,m,f,n,r,u,o,EOS,
BOS,c,f,a,u,d,m,t,u,o,EOS
BOS,c,a,m,f,n,a,t,u,o,EOS
BOS,a,c,m,f,EOS,d,t,u,o,EOS
BOS,g,i,q,k,e,o,b,l,j,EOS
BOS,i,h,g,k,o,s,b,l,j,EOS
BOS,c,a,f,m,n,r,u,e,EOS,
BOS,c,a,f,m,n,d,t,BOS,o,EOS
BOS,a,c,f,n,d,m,t,u,f,EOS
BOS,a,c,m,l,n,r,u,o,EOS,
BOS,a,m,g,f,n,r,u,o,EOS,
BOS,g,i,h,k,e,s,b,l,b,EOS
BOS,i,q,g,k,e,s,b,l,BOS,EOS
BOS,u,c,f,m,n,r,u,o,EOS,
BOS,g,i,q,k,e,s,b,l,j,EOS
BOS,g,t,p,k,e,s,b,l,j,EOS
BOS,a,m,c,f,n,k,t,u,o,EOS
BOS,k,i,h,k,e,s,b,l,j,EOS
r,a,m,c,f,n,r,u,o,EOS,
BOS,i,q,g,t,e,s,b,l,j,EOS
BOS,i,h,g,k,p,s,b,l,j,EOS
BOS,i,j,g,k,e,s,b,l,j,EOS
BOS,i,g,q,k,e,s,b,l,u,EOS
BOS,l,p,g,k,e,s,b,l,j,EOS
BOS,c,a,m,f,n,d,t,s,o,EOS
BOS,i,q,g,k,e,s,b,l,h,EOS
BOS,c,f,n,a,m,f,t,u,o,EOS
BOS,g,i,q,k,e,s,c,l,j,EOS
BOS,c,a,f,n,r,u,a,o,EOS,
BOS,i,g,q,k,e,s,b,l,j,f
BOS,a,f,f,n,r,m,u,o,EOS,
BOS,i,p,g,k,e,s,n,l,j,EOS
BOS,g,i,h,k,q,s,b,l,j,EOS
BOS,a,m,c,f,n,r,i,o,EOS,
BOS,o,i,q,k,e,s,b,l,j,EOS
BOS,c,a,m,f,j,d,t,u,o,EOS
BOS,c,a,a,m,n,r,u,o,EOS,
BOS,c,a,BOS,f,n,r,u,o,EOS,
BOS,a,c,m,BOS,n,r,u,o,EOS,
BOS,i,q,g,k,e,s,b,l,j,EOS
BOS,a,m,c,f,n,d,t,b,o,EOS
