0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
BOS,c,i,s,k,a,o,t,s,h,u,EOS,,,,,,
BOS,d,g,m,q,d,e,m,q,d,e,b,n,f,EOS,,,
BOS,d,m,e,q,d,p,g,n,f,EOS,,,,,,,
BOS,d,p,EOS,n,f,g,,,,,,,,,,,
BOS,d,e,m,d,q,b,g,n,f,EOS,,,,,,,
BOS,d,e,m,q,e,e,m,q,d,m,q,d,p,g,n,f,EOS
BOS,c,i,a,k,s,o,u,s,o,t,s,h,t,EOS,,,
c,BOS,r,a,k,s,o,t,s,h,u,EOS,,,,,,
g,d,e,m,q,d,p,BOS,n,f,EOS,,,,,,,
d,BOS,e,m,q,d,g,p,n,f,EOS,,,,,,,
BOS,d,e,m,q,d,e,m,n,d,e,m,q,p,g,q,f,EOS
BOS,k,i,a,c,s,h,u,EOS,,,,,,,,,
BOS,d,e,m,q,d,e,m,q,d,m,q,e,g,n,f,b,EOS
c,BOS,j,l,a,k,s,h,u,EOS,,,,,,,,
BOS,EOS,r,a,k,s,h,u,c,,,,,,,,,
BOS,d,EOS,m,q,d,b,g,n,f,e,,,,,,,
BOS,a,i,c,k,s,o,t,s,h,u,EOS,,,,,,
BOS,c,r,s,k,a,o,t,s,o,t,s,h,u,EOS,,,
e,d,e,m,q,d,e,m,q,d,m,q,BOS,b,g,n,f,EOS
BOS,c,l,j,a,k,s,o,t,s,h,u,EOS,,,,,
BOS,d,e,m,q,d,g,p,EOS,f,n,,,,,,,
BOS,c,i,a,s,k,h,u,EOS,,,,,,,,,
BOS,d,b,g,n,f,EOS,,,,,,,,,,,
g,d,e,m,q,d,b,BOS,n,f,EOS,,,,,,,
BOS,d,e,m,f,d,e,m,q,d,g,n,p,q,EOS,,,
BOS,d,e,m,q,d,e,m,q,d,e,m,q,EOS,b,g,n,f
u,c,i,a,k,s,o,t,s,h,BOS,EOS,,,,,,
BOS,c,r,a,u,s,h,k,EOS,,,,,,,,,
BOS,d,g,EOS,n,f,b,,,,,,,,,,,
BOS,c,l,j,a,k,u,o,t,s,o,t,s,h,s,EOS,,
BOS,d,m,e,q,d,e,m,q,d,p,g,n,f,EOS,,,
BOS,d,f,g,n,p,EOS,,,,,,,,,,,
BOS,d,b,n,g,f,EOS,,,,,,,,,,,
BOS,d,g,n,f,p,EOS,,,,,,,,,,,
BOS,a,r,c,k,s,h,u,EOS,,,,,,,,,
BOS,c,s,a,k,r,o,t,s,o,t,s,h,u,EOS,,,
BOS,d,e,m,q,n,e,m,q,d,e,m,q,d,p,g,f,EOS
BOS,c,j,h,a,k,s,l,u,EOS,,,,,,,,
BOS,d,e,m,q,n,b,g,d,f,EOS,,,,,,,
BOS,n,e,m,q,d,b,g,d,f,EOS,,,,,,,
BOS,d,b,f,n,g,EOS,,,,,,,,,,,
BOS,g,d,b,n,f,EOS,,,,,,,,,,,
BOS,c,l,u,a,k,s,o,t,s,h,j,EOS,,,,,
BOS,c,i,s,k,s,o,t,a,h,u,EOS,,,,,,
BOS,c,k,a,i,s,h,u,EOS,,,,,,,,,
BOS,c,r,a,k,s,o,t,u,o,t,s,o,t,s,h,EOS,
BOS,c,i,a,k,s,o,t,s,EOS,u,h,,,,,,
EOS,d,p,g,n,f,BOS,,,,,,,,,,,
BOS,d,e,m,q,d,g,p,n,f,EOS,,,,,,,
BOS,d,EOS,g,n,f,b,,,,,,,,,,,
BOS,a,l,j,c,k,s,h,u,EOS,,,,,,,,
BOS,c,k,a,i,s,h,u,EOS,,,,,,,,,
BOS,d,g,p,n,f,EOS,,,,,,,,,,,
d,d,e,m,q,BOS,g,p,n,f,EOS,,,,,,,
BOS,d,e,m,q,EOS,e,m,q,d,e,m,q,d,g,p,n,f
BOS,d,e,m,q,d,b,g,f,n,EOS,,,,,,,
BOS,c,EOS,a,k,s,h,u,r,,,,,,,,,
