0,1,2,3,4,5,6,7,8,9,10,11,12,13
o,c,n,m,s,n,h,v,t,q,a,,,
j,n,m,l,s,h,v,t,q,a,,,,
o,c,m,m,k,h,v,t,q,a,,,,
j,n,m,r,s,h,v,t,c,a,,,,
e,u,s,i,f,n,m,s,r,h,v,t,q,a
o,c,n,m,r,s,h,v,t,q,k,,,
t,c,n,m,r,s,h,v,t,q,a,,,
o,c,n,m,s,r,h,k,t,q,a,,,
i,f,u,e,b,n,m,s,r,h,v,t,j,a
o,c,n,m,r,b,h,v,t,q,a,,,
o,c,n,m,k,h,v,t,q,a,,,,
d,p,g,l,n,m,k,h,v,t,q,a,,
d,k,l,p,n,m,k,h,v,t,q,a,,
j,n,m,k,j,v,t,q,a,,,,,
d,g,l,p,n,m,k,h,v,t,q,t,,
o,c,n,m,c,s,h,v,t,q,a,,,
g,l,d,p,n,m,k,h,v,v,q,a,,
g,l,d,p,n,m,k,h,v,t,q,j,,
o,c,n,m,s,r,h,v,t,q,c,,,
e,c,n,m,k,h,v,t,q,a,,,,
u,i,e,f,b,p,m,k,h,v,t,q,a,
o,c,n,m,k,h,v,t,q,a,,,,
a,n,m,s,r,h,v,t,q,a,,,,
g,d,p,l,n,m,r,s,h,v,t,h,a,
g,e,d,p,n,m,r,s,h,v,t,q,a,
i,e,u,b,f,n,m,s,r,h,v,k,q,a
i,u,e,f,b,n,m,k,h,v,g,q,a,
e,u,i,f,t,n,m,r,s,h,v,t,q,a
o,c,j,m,k,h,v,t,q,a,,,,
d,p,g,l,n,m,k,h,v,t,q,g,,
g,l,d,p,n,m,p,h,v,t,q,a,,
e,i,f,u,b,n,m,k,h,v,t,c,a,
o,c,t,m,s,r,h,v,t,q,a,,,
g,o,d,p,n,m,k,h,v,t,q,a,,
o,c,n,m,r,l,h,v,t,q,a,,,
o,c,n,m,r,s,h,v,t,q,a,,,
d,o,g,l,n,m,r,s,h,v,t,q,a,
d,g,l,p,n,m,r,s,f,v,t,q,a,
g,d,l,p,n,m,s,r,h,v,u,q,a,
o,c,n,m,k,f,v,t,q,a,,,,
j,n,m,s,r,h,v,t,q,s,,,,
e,u,b,i,f,n,m,s,r,h,v,t,q,h
d,g,l,p,n,m,r,s,g,v,t,q,a,
o,c,n,m,s,r,h,p,t,q,a,,,
j,n,m,k,h,v,t,q,e,,,,,
d,p,g,l,n,m,k,h,u,t,q,a,,
o,c,n,t,k,h,v,t,q,a,,,,
j,n,m,k,h,v,t,q,s,,,,,
g,d,p,l,n,m,k,h,v,t,q,a,,
j,n,m,k,h,v,r,q,a,,,,,
o,c,n,m,s,r,h,v,t,q,g,,,
e,u,i,f,b,n,t,r,s,h,v,t,q,a
j,n,m,k,h,v,d,q,a,,,,,
d,k,l,p,n,m,r,s,h,v,t,q,a,
j,n,m,r,s,h,p,t,q,a,,,,
j,n,m,k,h,v,e,q,a,,,,,
d,p,g,l,n,m,r,s,h,v,t,q,m,
e,i,u,f,b,n,m,r,t,h,v,t,q,a
i,u,e,b,f,n,m,k,n,v,t,q,a,
d,p,g,l,n,g,k,h,v,t,q,a,,
g,d,l,p,n,m,m,h,v,t,q,a,,
g,l,d,p,n,m,k,h,v,t,q,p,,
o,c,n,m,g,s,h,v,t,q,a,,,
e,i,f,u,b,q,m,k,h,v,t,q,a,
g,l,r,p,n,m,k,h,v,t,q,a,,
u,f,e,i,f,n,m,r,s,h,v,t,q,a
o,c,n,m,r,s,j,v,t,q,a,,,
o,c,n,m,d,s,h,v,t,q,a,,,
u,i,e,b,f,n,m,d,s,h,v,t,q,a
e,b,i,e,f,n,m,s,r,h,v,t,q,a
j,n,m,g,h,v,t,q,a,,,,,
j,n,m,s,s,h,v,t,q,a,,,,
j,n,m,q,h,v,t,q,a,,,,,
e,u,i,f,b,n,m,k,h,v,t,o,a,
o,c,n,m,b,r,h,v,t,q,a,,,
i,f,u,e,b,n,l,k,h,v,t,q,a,
j,n,m,k,h,v,t,q,q,,,,,
d,g,p,l,n,m,s,r,h,v,j,q,a,
u,b,i,f,e,n,m,k,h,v,t,q,a,
g,l,j,p,n,m,k,h,v,t,q,a,,
i,e,f,u,b,i,m,k,h,v,t,q,a,
e,v,u,f,b,n,m,r,s,h,v,t,q,a
u,i,f,e,b,n,b,k,h,v,t,q,a,
j,n,m,q,r,h,v,t,q,a,,,,
o,c,n,m,k,h,v,t,q,h,,,,
j,n,p,k,h,v,t,q,a,,,,,
u,e,i,r,f,n,m,s,r,h,v,t,q,a
o,c,n,m,k,h,v,p,q,a,,,,
u,b,i,f,e,n,e,s,r,h,v,t,q,a
j,n,m,s,r,h,v,t,e,a,,,,
i,u,e,b,f,n,m,s,r,h,a,t,q,a
j,n,m,k,h,v,t,t,a,,,,,
j,n,m,r,s,h,v,t,p,a,,,,
g,l,d,p,b,m,s,r,h,v,t,q,a,
p,l,d,p,n,m,k,h,v,t,q,a,,
o,c,n,m,k,h,v,i,q,a,,,,
g,d,l,c,n,m,s,r,h,v,t,q,a,
g,l,d,p,n,m,r,s,h,v,t,q,e,
j,a,m,k,h,v,t,q,a,,,,,
o,c,n,d,k,h,v,t,q,a,,,,
i,e,u,b,f,n,e,k,h,v,t,q,a,
j,n,m,r,i,h,v,t,q,a,,,,
d,p,g,l,n,m,r,s,h,v,c,q,a,
o,c,n,m,r,s,h,v,t,q,j,,,
u,e,i,b,f,n,u,k,h,v,t,q,a,
o,c,k,m,r,s,h,v,t,q,a,,,
u,i,b,e,f,n,m,k,h,v,g,q,a,
j,n,m,k,h,v,b,q,a,,,,,
g,d,l,p,n,m,r,s,t,v,t,q,a,
i,u,f,b,e,n,m,k,h,v,t,e,a,
o,c,n,m,k,h,v,t,q,a,,,,
o,c,n,m,t,h,v,t,q,a,,,,
e,i,f,u,b,n,m,s,r,h,v,b,q,a
e,u,b,i,f,n,m,r,s,h,v,a,q,a
i,u,e,b,f,n,m,s,t,h,v,t,q,a
o,c,q,m,s,r,h,v,t,q,a,,,
o,c,n,m,s,r,h,v,t,d,a,,,
g,l,d,p,n,m,r,s,h,v,t,q,a,
i,e,u,f,b,k,m,k,h,v,t,q,a,
i,e,u,b,f,q,m,s,r,h,v,t,q,a
j,n,m,q,s,h,v,t,q,a,,,,
j,n,i,r,s,h,v,t,q,a,,,,
i,f,u,b,e,n,m,k,h,r,t,q,a,
j,n,m,s,r,r,v,t,q,a,,,,
j,n,m,s,r,h,v,t,q,a,,,,
d,g,p,l,n,m,r,s,h,v,t,m,a,
u,i,l,f,b,n,m,r,s,h,v,t,q,a
