0,1,2,3,4,5,6,7,8,9,10
i,k,e,o,l,o,,,,,
e,d,,,,,,,,,
b,h,m,c,,,,,,,
o,d,,,,,,,,,
k,d,,,,,,,,,
o,d,,,,,,,,,
i,q,k,e,l,o,,,,,
g,b,m,c,,,,,,,
h,d,,,,,,,,,
i,k,e,l,o,a,k,o,,,
a,b,m,c,,,,,,,
i,k,e,e,l,o,,,,,
a,d,,,,,,,,,
g,q,p,h,n,m,f,m,c,,
b,m,g,c,,,,,,,
i,d,,,,,,,,,
i,k,e,l,o,a,o,a,d,o,
c,d,,,,,,,,,
i,q,k,e,l,o,,,,,
o,b,m,c,,,,,,,
g,p,d,q,h,n,f,m,c,,
i,k,e,l,l,o,,,,,
g,p,h,q,f,j,m,p,c,,
i,n,k,e,l,o,,,,,
k,d,,,,,,,,,
b,h,m,c,,,,,,,
c,d,,,,,,,,,
i,i,k,e,l,o,,,,,
b,m,o,c,,,,,,,
g,h,q,p,n,f,p,m,c,,
q,d,,,,,,,,,
g,q,p,h,n,f,m,g,c,,
i,d,,,,,,,,,
b,b,m,c,,,,,,,
e,d,,,,,,,,,
o,d,,,,,,,,,
b,m,a,c,,,,,,,
i,k,e,n,l,o,a,o,,,
i,k,e,q,l,o,,,,,
i,k,e,l,a,o,a,o,a,o,
b,m,q,c,,,,,,,
b,m,n,c,,,,,,,
m,i,k,e,l,o,,,,,
i,f,k,e,l,o,,,,,
n,d,,,,,,,,,
g,h,p,q,n,f,o,m,c,,
i,k,e,l,o,a,a,o,,,
b,d,,,,,,,,,
i,k,e,l,k,o,,,,,
b,m,p,c,,,,,,,
b,m,k,c,,,,,,,
g,q,p,h,n,f,l,m,c,,
g,p,q,h,f,j,q,m,c,,
i,k,n,e,l,o,,,,,
g,h,p,k,q,n,f,m,c,,
i,k,e,l,o,l,a,o,a,o,
i,k,e,l,e,o,,,,,
n,d,,,,,,,,,
g,q,h,j,p,f,n,m,c,,
a,d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a,
g,h,q,p,f,f,j,m,c,,
n,d,,,,,,,,,
g,g,q,p,h,f,n,m,c,,
m,d,,,,,,,,,
i,k,e,l,d,o,a,o,,,
g,h,q,p,c,n,f,m,c,,
b,m,l,c,,,,,,,
b,m,i,c,,,,,,,
g,p,q,h,g,f,j,m,c,,
c,d,,,,,,,,,
h,d,,,,,,,,,
b,m,k,c,,,,,,,
o,b,m,c,,,,,,,
b,m,b,c,,,,,,,
i,k,e,l,j,o,,,,,
g,p,h,q,n,f,m,n,c,,
b,m,i,c,,,,,,,
i,k,e,l,o,e,a,o,,,
g,q,h,p,n,o,f,m,c,,
i,k,e,f,l,o,,,,,
k,d,,,,,,,,,
i,k,i,e,l,o,,,,,
q,d,,,,,,,,,
b,k,m,c,,,,,,,
b,m,q,c,,,,,,,
g,b,q,p,h,j,f,m,c,,
k,d,,,,,,,,,
n,b,m,c,,,,,,,
a,d,,,,,,,,,
i,k,e,l,o,a,n,o,a,o,a
b,o,m,c,,,,,,,
g,q,h,p,j,f,m,l,c,,
i,k,e,f,l,o,,,,,
h,d,,,,,,,,,
b,h,m,c,,,,,,,
b,m,d,c,,,,,,,
l,b,m,c,,,,,,,
g,p,h,f,q,j,f,m,c,,
f,g,h,p,q,f,n,m,c,,
q,d,,,,,,,,,
i,k,c,e,l,o,,,,,
b,m,i,c,,,,,,,
g,d,,,,,,,,,
h,d,,,,,,,,,
a,i,k,e,l,o,a,o,a,o,
g,h,q,g,p,n,f,m,c,,
f,d,,,,,,,,,
g,b,m,c,,,,,,,
i,k,e,l,j,o,,,,,
e,d,,,,,,,,,
n,b,m,c,,,,,,,
k,d,,,,,,,,,
i,k,j,e,l,o,a,o,,,
i,k,e,l,i,o,a,o,a,o,a
b,m,b,c,,,,,,,
b,h,m,c,,,,,,,
n,b,m,c,,,,,,,
p,b,m,c,,,,,,,
i,k,e,l,o,o,a,o,,,
e,d,,,,,,,,,
i,k,e,l,o,a,o,a,f,o,
i,b,m,c,,,,,,,
g,i,h,q,p,j,f,m,c,,
g,h,a,q,p,n,f,m,c,,
g,q,h,p,f,o,j,m,c,,
g,c,p,h,q,f,n,m,c,,
i,k,d,e,l,o,a,o,,,
g,e,p,h,q,n,f,m,c,,
p,d,,,,,,,,,
i,k,e,l,o,q,a,o,,,
i,k,e,a,l,o,a,o,,,
i,k,o,e,l,o,a,o,,,
q,g,q,p,h,f,n,m,c,,
g,b,m,c,,,,,,,
b,m,i,c,,,,,,,
h,d,,,,,,,,,
i,k,e,l,c,o,,,,,
i,k,e,f,l,o,a,o,a,o,
l,d,,,,,,,,,
b,b,m,c,,,,,,,
l,d,,,,,,,,,
p,i,k,e,l,o,,,,,
n,i,k,e,l,o,,,,,
b,m,i,c,,,,,,,
i,k,e,l,o,a,o,a,o,d,a
g,q,h,p,n,f,e,m,c,,
b,m,g,c,,,,,,,
i,k,n,e,l,o,,,,,
b,d,,,,,,,,,
k,i,k,e,l,o,,,,,
a,i,k,e,l,o,,,,,
g,q,p,h,f,j,m,m,c,,
a,d,,,,,,,,,
g,i,q,p,h,n,f,m,c,,
i,k,e,l,o,a,o,a,n,o,a
m,d,,,,,,,,,
g,h,a,p,q,n,f,m,c,,
g,h,q,p,n,f,k,m,c,,
b,m,l,c,,,,,,,
g,q,p,h,f,j,g,m,c,,
a,d,,,,,,,,,
b,d,m,c,,,,,,,
g,q,h,f,p,n,f,m,c,,
i,k,e,g,l,o,,,,,
l,d,,,,,,,,,
i,b,m,c,,,,,,,
e,d,,,,,,,,,
g,p,q,h,b,j,f,m,c,,
g,p,p,h,q,n,f,m,c,,
d,d,,,,,,,,,
i,k,e,l,o,d,a,o,a,o,
d,d,,,,,,,,,
b,j,m,c,,,,,,,
l,i,k,e,l,o,,,,,
k,d,,,,,,,,,
i,b,k,e,l,o,,,,,
i,k,e,c,l,o,,,,,
i,e,k,e,l,o,a,o,a,o,a
l,b,m,c,,,,,,,
a,d,,,,,,,,,
b,m,d,c,,,,,,,
i,k,e,p,l,o,,,,,
c,d,,,,,,,,,
g,g,h,p,q,f,n,m,c,,
j,d,,,,,,,,,
i,k,n,e,l,o,a,o,a,o,a
g,d,,,,,,,,,
g,p,h,h,q,j,f,m,c,,
i,k,e,l,o,a,o,a,d,o,
g,q,h,p,j,j,f,m,c,,
g,h,p,q,b,f,j,m,c,,
g,p,c,q,h,n,f,m,c,,
q,i,k,e,l,o,a,o,a,o,
b,m,j,c,,,,,,,
h,d,,,,,,,,,
l,b,m,c,,,,,,,
n,d,,,,,,,,,
i,k,e,l,e,o,,,,,
g,h,q,p,n,b,f,m,c,,
i,k,e,l,p,o,a,o,a,o,a
n,b,m,c,,,,,,,
p,i,k,e,l,o,,,,,
g,j,q,h,p,n,f,m,c,,
a,d,,,,,,,,,
b,m,m,c,,,,,,,
i,b,k,e,l,o,,,,,
k,d,,,,,,,,,
j,d,,,,,,,,,
b,b,m,c,,,,,,,
m,i,k,e,l,o,,,,,
i,k,e,o,l,o,a,o,a,,
i,k,e,l,o,a,k,o,,,
g,q,p,p,h,n,f,m,c,,
g,d,,,,,,,,,
j,b,m,c,,,,,,,
i,k,e,l,o,a,o,a,p,o,
e,i,k,e,l,o,a,o,a,o,
g,d,q,h,p,f,n,m,c,,
g,q,j,h,p,f,j,m,c,,
i,k,e,e,l,o,,,,,
b,m,g,c,,,,,,,
b,f,m,c,,,,,,,
b,m,e,c,,,,,,,
i,k,e,l,a,o,a,o,a,o,
g,h,q,p,q,f,n,m,c,,
l,g,h,q,p,n,f,m,c,,
i,k,e,l,p,o,a,o,,,
g,h,q,p,p,n,f,m,c,,
h,d,,,,,,,,,
g,h,l,q,p,j,f,m,c,,
b,m,c,c,,,,,,,
b,m,m,c,,,,,,,
q,d,,,,,,,,,
i,k,d,e,l,o,,,,,
m,d,,,,,,,,,
b,m,m,c,,,,,,,
o,d,,,,,,,,,
g,h,p,q,n,f,m,b,c,,
b,d,m,c,,,,,,,
i,k,e,l,o,m,a,o,,,
b,h,m,c,,,,,,,
b,m,g,c,,,,,,,
b,m,b,c,,,,,,,
b,f,m,c,,,,,,,
k,d,,,,,,,,,
g,d,,,,,,,,,
c,i,k,e,l,o,,,,,
p,d,,,,,,,,,
b,m,e,c,,,,,,,
g,p,a,h,q,j,f,m,c,,
i,k,e,l,o,a,o,a,a,o,
g,d,,,,,,,,,
h,d,,,,,,,,,
g,q,p,h,j,f,i,m,c,,
g,q,h,p,k,j,f,m,c,,
i,f,k,e,l,o,,,,,
g,d,,,,,,,,,
l,d,,,,,,,,,
i,j,k,e,l,o,a,o,,,
g,p,h,q,n,f,i,m,c,,
g,q,h,c,p,j,f,m,c,,
g,j,h,p,q,f,n,m,c,,
o,b,m,c,,,,,,,
b,q,m,c,,,,,,,
c,d,,,,,,,,,
i,k,l,e,l,o,,,,,
g,q,h,p,p,n,f,m,c,,
a,b,m,c,,,,,,,
b,m,f,c,,,,,,,
b,c,m,c,,,,,,,
i,p,k,e,l,o,,,,,
j,g,h,q,p,j,f,m,c,,
h,g,q,p,h,f,j,m,c,,
p,g,h,q,p,f,n,m,c,,
h,b,m,c,,,,,,,
g,p,n,q,h,n,f,m,c,,
g,h,p,q,n,b,f,m,c,,
i,k,q,e,l,o,,,,,
o,d,,,,,,,,,
c,d,,,,,,,,,
m,d,,,,,,,,,
b,m,j,c,,,,,,,
q,d,,,,,,,,,
q,d,,,,,,,,,
b,m,h,c,,,,,,,
i,k,e,l,o,a,n,o,a,o,
g,h,p,q,f,k,n,m,c,,
d,b,m,c,,,,,,,
b,h,m,c,,,,,,,
b,m,g,c,,,,,,,
o,g,p,q,h,n,f,m,c,,
g,d,,,,,,,,,
l,d,,,,,,,,,
i,l,k,e,l,o,a,o,a,o,
b,m,k,c,,,,,,,
b,m,n,c,,,,,,,
e,i,k,e,l,o,a,o,a,o,a
b,b,m,c,,,,,,,
g,q,p,h,f,j,m,l,c,,
g,p,q,h,f,n,b,m,c,,
h,b,m,c,,,,,,,
k,b,m,c,,,,,,,
g,h,q,p,d,n,f,m,c,,
b,g,m,c,,,,,,,
i,k,e,l,o,a,b,o,,,
b,m,k,c,,,,,,,
b,l,m,c,,,,,,,
b,b,m,c,,,,,,,
g,p,h,a,q,f,n,m,c,,
j,b,m,c,,,,,,,
o,d,,,,,,,,,
o,i,k,e,l,o,a,o,a,a,
i,k,e,g,l,o,a,o,,,
b,i,m,c,,,,,,,
b,m,q,c,,,,,,,
b,m,c,c,,,,,,,
d,d,,,,,,,,,
b,j,m,c,,,,,,,
g,h,a,q,p,f,j,m,c,,
b,d,,,,,,,,,
