0,1,2,3,4,5,6,7,8,9
i,k,e,l,,,,,,
,,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,l,o,,,,,,
b,c,,,,,,,,
,,,,,,,,,
i,k,e,l,o,a,,,,
m,c,,,,,,,,
i,k,e,o,,,,,,
,,,,,,,,,
g,q,p,h,n,m,c,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,l,o,a,o,a,o,,
,,,,,,,,,
i,k,e,l,,,,,,
m,c,,,,,,,,
g,q,h,n,f,m,c,,,
i,k,l,o,,,,,,
g,p,h,q,f,j,c,,,
k,e,l,o,,,,,,
,,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
i,k,e,o,,,,,,
m,c,,,,,,,,
g,h,q,p,f,m,c,,,
,,,,,,,,,
g,q,p,h,f,m,c,,,
,,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,e,l,o,a,o,,,,
i,k,e,l,,,,,,
i,k,e,l,o,a,a,o,a,o
m,c,,,,,,,,
b,c,,,,,,,,
i,e,l,o,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
g,p,q,n,f,m,c,,,
k,e,l,o,a,o,,,,
,,,,,,,,,
i,k,e,o,,,,,,
m,c,,,,,,,,
b,m,,,,,,,,
g,p,h,n,f,m,c,,,
g,q,h,f,j,m,c,,,
i,k,e,o,,,,,,
g,h,p,n,f,m,c,,,
i,k,e,o,a,o,a,o,,
i,k,e,l,,,,,,
,,,,,,,,,
g,q,h,p,f,n,m,,,
,,,,,,,,,
i,e,l,o,a,o,a,o,a,
g,q,p,f,j,m,c,,,
,,,,,,,,,
g,p,h,f,n,m,c,,,
,,,,,,,,,
i,k,e,l,o,a,,,,
g,h,q,p,n,f,c,,,
b,c,,,,,,,,
b,c,,,,,,,,
p,q,h,f,j,m,c,,,
,,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
b,c,,,,,,,,
b,c,,,,,,,,
i,k,e,l,,,,,,
g,p,q,n,f,m,c,,,
b,c,,,,,,,,
i,k,l,o,a,o,,,,
g,h,p,n,f,m,c,,,
i,e,l,o,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
b,m,,,,,,,,
b,c,,,,,,,,
g,q,p,j,f,m,c,,,
,,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
b,m,,,,,,,,
g,h,p,j,f,m,c,,,
k,e,l,o,,,,,,
,,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
m,c,,,,,,,,
g,p,h,q,f,m,c,,,
g,h,p,f,n,m,c,,,
,,,,,,,,,
k,e,l,o,,,,,,
m,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,l,o,a,o,a,a,o
g,h,q,p,n,f,c,,,
,,,,,,,,,
b,m,,,,,,,,
i,k,e,o,,,,,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,e,l,o,o,,,,
i,k,l,o,a,o,a,o,a,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
i,k,e,l,o,o,,,,
,,,,,,,,,
i,k,e,l,o,o,a,o,,
m,c,,,,,,,,
g,h,q,j,f,m,c,,,
g,h,q,p,n,f,c,,,
g,q,h,p,j,m,c,,,
g,p,h,q,n,m,c,,,
i,k,l,o,a,o,,,,
g,p,h,q,n,f,m,,,
,,,,,,,,,
i,k,e,o,a,o,,,,
k,e,l,o,a,o,,,,
i,e,l,o,a,o,,,,
g,q,p,h,n,m,c,,,
b,c,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
i,k,l,o,,,,,,
i,k,e,l,o,a,o,o,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,e,l,,,,,,
i,k,e,l,,,,,,
b,c,,,,,,,,
i,k,e,l,o,a,o,a,o,a
g,q,h,p,f,m,c,,,
b,m,,,,,,,,
i,k,l,o,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
k,e,l,o,,,,,,
g,q,p,h,j,m,c,,,
,,,,,,,,,
q,p,h,n,f,m,c,,,
i,k,e,l,a,o,a,o,a,o
,,,,,,,,,
g,h,p,q,n,m,c,,,
h,q,p,n,f,m,c,,,
m,c,,,,,,,,
g,q,p,h,f,j,c,,,
,,,,,,,,,
m,c,,,,,,,,
g,q,h,p,n,f,c,,,
i,k,l,o,,,,,,
,,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
g,p,q,h,j,m,c,,,
g,h,q,n,f,m,c,,,
,,,,,,,,,
i,k,e,l,a,o,a,o,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,o,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
i,e,l,o,,,,,,
i,k,e,l,o,a,o,a,o,a
b,c,,,,,,,,
,,,,,,,,,
m,c,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
g,h,p,q,n,m,c,,,
,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
,,,,,,,,,
g,p,h,q,j,f,m,,,
i,k,e,l,o,a,a,o,,
g,h,p,j,f,m,c,,,
g,h,p,q,j,m,c,,,
g,p,q,n,f,m,c,,,
i,k,l,o,a,o,a,o,,
b,c,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,e,o,,,,,,
h,q,p,n,f,m,c,,,
i,k,e,l,a,o,a,o,a,o
b,m,,,,,,,,
i,k,l,o,,,,,,
g,q,h,p,n,f,c,,,
,,,,,,,,,
b,m,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,l,,,,,,
i,k,e,l,o,a,o,o,,
i,k,e,l,o,a,,,,
g,q,p,h,n,f,c,,,
,,,,,,,,,
m,c,,,,,,,,
k,e,l,o,a,o,a,o,,
i,k,e,o,a,o,a,o,,
g,q,h,p,f,n,m,,,
g,q,h,p,j,m,c,,,
i,k,e,l,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
i,k,e,l,a,o,a,o,,
g,h,p,q,f,n,c,,,
g,h,q,n,f,m,c,,,
i,k,e,l,o,o,,,,
g,h,q,p,n,m,c,,,
,,,,,,,,,
h,q,p,j,f,m,c,,,
m,c,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
g,h,q,n,f,m,c,,,
b,m,,,,,,,,
i,k,e,l,o,a,,,,
b,c,,,,,,,,
b,m,,,,,,,,
m,c,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,l,,,,,,
,,,,,,,,,
m,c,,,,,,,,
g,p,h,q,j,f,m,,,
i,k,e,o,a,o,a,o,a,
,,,,,,,,,
,,,,,,,,,
q,p,h,j,f,m,c,,,
g,q,h,p,j,m,c,,,
i,k,e,o,,,,,,
,,,,,,,,,
,,,,,,,,,
k,e,l,o,a,o,,,,
g,p,h,n,f,m,c,,,
g,q,p,j,f,m,c,,,
g,h,q,f,n,m,c,,,
b,m,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
k,e,l,o,,,,,,
g,q,p,n,f,m,c,,,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
i,k,l,o,,,,,,
g,h,q,j,f,m,c,,,
q,p,h,f,j,m,c,,,
g,h,q,p,f,m,c,,,
m,c,,,,,,,,
g,p,h,n,f,m,c,,,
g,h,p,q,n,f,c,,,
k,e,l,o,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,l,o,o,a,o,,
h,p,q,f,n,m,c,,,
b,c,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
g,p,q,h,n,f,c,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,l,a,o,a,o,,
b,c,,,,,,,,
m,c,,,,,,,,
i,k,e,l,o,o,a,o,a,
b,c,,,,,,,,
g,q,h,f,j,m,c,,,
g,p,q,h,f,n,m,,,
b,c,,,,,,,,
b,c,,,,,,,,
g,h,p,n,f,m,c,,,
b,m,,,,,,,,
i,k,e,l,o,o,,,,
m,c,,,,,,,,
b,c,,,,,,,,
b,c,,,,,,,,
g,p,h,q,f,m,c,,,
b,m,,,,,,,,
,,,,,,,,,
i,k,e,l,o,a,a,o,a,o
i,k,l,o,a,o,,,,
b,m,,,,,,,,
m,c,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
g,h,p,f,j,m,c,,,
,,,,,,,,,
i,k,e,l,,,,,,
b,c,,,,,,,,
i,k,e,l,,,,,,
k,e,l,o,a,o,,,,
g,p,h,j,f,m,c,,,
i,k,e,o,,,,,,
g,p,h,q,f,n,c,,,
,,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
q,p,h,n,f,m,c,,,
g,q,p,n,f,m,c,,,
g,h,q,p,n,f,c,,,
i,k,l,o,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,l,,,,,,
,,,,,,,,,
,,,,,,,,,
g,h,q,n,f,m,c,,,
g,q,h,p,j,f,c,,,
m,c,,,,,,,,
g,p,q,f,n,m,c,,,
g,q,h,p,j,f,c,,,
b,m,,,,,,,,
,,,,,,,,,
g,h,p,j,f,m,c,,,
,,,,,,,,,
i,k,e,l,,,,,,
,,,,,,,,,
b,c,,,,,,,,
b,c,,,,,,,,
i,k,e,l,a,o,a,o,,
i,k,e,l,o,a,a,o,,
g,p,q,h,j,f,m,,,
i,k,e,l,o,a,,,,
i,k,e,o,,,,,,
,,,,,,,,,
g,q,p,f,j,m,c,,,
,,,,,,,,,
m,c,,,,,,,,
,,,,,,,,,
g,h,q,j,f,m,c,,,
,,,,,,,,,
b,m,,,,,,,,
g,q,h,j,f,m,c,,,
i,k,e,o,,,,,,
b,c,,,,,,,,
g,h,q,p,n,m,c,,,
,,,,,,,,,
i,k,e,o,a,o,,,,
i,k,e,l,o,o,a,o,,
i,k,e,o,,,,,,
g,q,p,j,f,m,c,,,
,,,,,,,,,
b,m,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
b,c,,,,,,,,
m,c,,,,,,,,
g,h,p,f,n,m,c,,,
b,m,,,,,,,,
k,e,l,o,,,,,,
i,k,e,o,,,,,,
,,,,,,,,,
g,h,q,p,n,m,c,,,
g,q,h,p,j,f,c,,,
i,k,e,l,,,,,,
g,q,p,h,f,j,m,,,
i,k,e,l,,,,,,
,,,,,,,,,
g,h,q,p,f,m,c,,,
,,,,,,,,,
i,k,e,l,,,,,,
m,c,,,,,,,,
g,q,h,n,f,m,c,,,
i,e,l,o,,,,,,
,,,,,,,,,
g,p,q,h,n,f,m,,,
b,c,,,,,,,,
,,,,,,,,,
m,c,,,,,,,,
q,p,h,n,f,m,c,,,
b,m,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
i,e,l,o,,,,,,
,,,,,,,,,
i,k,l,o,,,,,,
,,,,,,,,,
,,,,,,,,,
i,k,e,o,a,o,a,o,a,
m,c,,,,,,,,
b,m,,,,,,,,
i,k,l,o,a,o,,,,
b,m,,,,,,,,
,,,,,,,,,
g,p,h,q,n,m,c,,,
g,p,h,q,f,j,m,,,
i,k,e,l,,,,,,
,,,,,,,,,
b,c,,,,,,,,
m,c,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
g,q,h,p,j,f,c,,,
i,k,e,l,a,o,a,o,,
g,p,h,j,f,m,c,,,
g,h,p,q,n,f,m,,,
g,q,p,n,f,m,c,,,
m,c,,,,,,,,
,,,,,,,,,
i,k,l,o,,,,,,
i,e,l,o,a,o,,,,
g,p,h,q,f,n,c,,,
k,e,l,o,a,o,,,,
i,k,e,o,,,,,,
i,k,e,l,a,o,,,,
b,c,,,,,,,,
m,c,,,,,,,,
b,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,l,a,o,,,,
k,e,l,o,a,o,,,,
g,h,p,q,f,m,c,,,
,,,,,,,,,
m,c,,,,,,,,
m,c,,,,,,,,
i,k,e,l,o,a,,,,
b,m,,,,,,,,
g,h,p,f,j,m,c,,,
i,k,e,o,,,,,,
,,,,,,,,,
g,q,h,f,j,m,c,,,
i,e,l,o,a,o,,,,
,,,,,,,,,
i,e,l,o,a,o,,,,
p,h,q,j,f,m,c,,,
b,c,,,,,,,,
,,,,,,,,,
g,p,q,h,f,m,c,,,
g,q,p,f,j,m,c,,,
b,c,,,,,,,,
q,p,h,n,f,m,c,,,
,,,,,,,,,
i,k,e,l,o,a,,,,
h,q,p,j,f,m,c,,,
q,p,h,f,j,m,c,,,
b,c,,,,,,,,
i,k,e,l,o,a,o,a,o,a
g,h,q,f,n,m,c,,,
b,c,,,,,,,,
h,q,p,j,f,m,c,,,
i,k,e,o,,,,,,
,,,,,,,,,
b,c,,,,,,,,
i,k,e,l,o,a,o,o,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
g,q,h,p,f,j,m,,,
i,k,e,l,o,a,o,a,a,o
g,h,q,p,j,m,c,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
b,m,,,,,,,,
,,,,,,,,,
g,p,q,h,j,f,m,,,
g,p,q,f,n,m,c,,,
b,c,,,,,,,,
g,h,p,q,j,m,c,,,
,,,,,,,,,
,,,,,,,,,
g,q,p,h,n,f,c,,,
,,,,,,,,,
b,m,,,,,,,,
g,q,p,n,f,m,c,,,
k,e,l,o,,,,,,
m,c,,,,,,,,
b,m,,,,,,,,
m,c,,,,,,,,
g,h,p,q,f,m,c,,,
g,h,q,p,n,f,m,,,
m,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
m,c,,,,,,,,
g,h,p,n,f,m,c,,,
i,k,e,l,o,a,a,o,a,o
i,k,e,o,a,o,,,,
g,q,h,p,n,m,c,,,
b,c,,,,,,,,
b,c,,,,,,,,
i,k,e,o,,,,,,
g,p,q,h,f,j,c,,,
g,p,q,h,f,m,c,,,
,,,,,,,,,
g,h,p,q,j,f,m,,,
m,c,,,,,,,,
,,,,,,,,,
g,h,p,q,n,m,c,,,
,,,,,,,,,
,,,,,,,,,
g,h,p,q,f,n,c,,,
,,,,,,,,,
,,,,,,,,,
g,h,q,p,f,m,c,,,
,,,,,,,,,
p,h,q,j,f,m,c,,,
,,,,,,,,,
g,h,p,q,f,m,c,,,
i,k,e,l,,,,,,
g,h,q,p,j,f,m,,,
,,,,,,,,,
g,p,q,h,f,m,c,,,
b,c,,,,,,,,
,,,,,,,,,
g,p,q,h,j,f,c,,,
m,c,,,,,,,,
m,c,,,,,,,,
b,m,,,,,,,,
i,k,l,o,,,,,,
,,,,,,,,,
k,e,l,o,,,,,,
m,c,,,,,,,,
m,c,,,,,,,,
g,p,q,h,j,f,c,,,
g,p,q,h,f,j,m,,,
b,m,,,,,,,,
,,,,,,,,,
g,q,p,h,f,j,m,,,
g,p,h,q,j,f,c,,,
g,q,h,p,f,m,c,,,
,,,,,,,,,
,,,,,,,,,
i,e,l,o,,,,,,
g,p,q,h,f,m,c,,,
b,c,,,,,,,,
b,c,,,,,,,,
g,p,q,h,f,j,m,,,
m,c,,,,,,,,
m,c,,,,,,,,
i,k,l,o,a,o,a,o,,
g,p,h,f,j,m,c,,,
,,,,,,,,,
g,q,h,p,f,m,c,,,
g,q,h,p,f,m,c,,,
p,h,q,j,f,m,c,,,
i,k,e,o,,,,,,
m,c,,,,,,,,
b,m,,,,,,,,
g,h,p,q,f,m,c,,,
m,c,,,,,,,,
i,k,l,o,,,,,,
m,c,,,,,,,,
,,,,,,,,,
b,m,,,,,,,,
i,k,e,l,a,o,,,,
b,m,,,,,,,,
i,k,e,l,o,a,,,,
b,m,,,,,,,,
,,,,,,,,,
,,,,,,,,,
p,h,q,j,f,m,c,,,
,,,,,,,,,
i,k,e,o,a,o,,,,
,,,,,,,,,
g,p,q,f,j,m,c,,,
h,p,q,j,f,m,c,,,
k,e,l,o,,,,,,
,,,,,,,,,
g,h,p,f,n,m,c,,,
b,m,,,,,,,,
b,m,,,,,,,,
i,k,l,o,,,,,,
b,m,,,,,,,,
,,,,,,,,,
,,,,,,,,,
g,q,h,p,n,f,c,,,
b,m,,,,,,,,
b,m,,,,,,,,
b,m,,,,,,,,
g,q,p,h,f,n,c,,,
k,e,l,o,,,,,,
,,,,,,,,,
g,h,q,p,f,m,c,,,
i,k,e,l,o,a,o,a,a,o
i,k,e,l,o,a,a,o,a,o
,,,,,,,,,
i,k,e,o,,,,,,
i,k,e,l,,,,,,
m,c,,,,,,,,
,,,,,,,,,
,,,,,,,,,
g,p,q,h,n,f,c,,,
b,m,,,,,,,,
g,q,p,f,n,m,c,,,
b,m,,,,,,,,
,,,,,,,,,
q,p,h,f,j,m,c,,,
k,e,l,o,a,o,a,o,a,
g,q,h,p,n,f,c,,,
,,,,,,,,,
g,q,p,h,j,m,c,,,
m,c,,,,,,,,
i,k,e,o,,,,,,
,,,,,,,,,
,,,,,,,,,
g,q,h,p,n,m,c,,,
i,k,e,o,a,o,,,,
i,k,l,o,a,o,,,,
b,m,,,,,,,,
g,p,q,h,f,j,m,,,
g,p,q,n,f,m,c,,,
g,q,p,h,f,m,c,,,
b,m,,,,,,,,
