0,1,2,3,4,5,6,7,8,9
i,k,e,o,l,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,e,k,l,o,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,k,e,l,o,o,a,,,
c,m,b,,,,,,,
k,i,e,l,o,,,,,
d,,,,,,,,,
g,m,p,h,n,f,q,c,,
b,c,m,,,,,,,
d,,,,,,,,,
i,k,e,a,o,l,o,a,o,
d,,,,,,,,,
o,k,e,l,i,,,,,
c,m,b,,,,,,,
g,c,q,h,n,f,m,p,,
i,l,e,k,o,,,,,
j,p,h,q,f,g,m,c,,
i,k,e,o,l,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
l,k,e,i,o,,,,,
c,m,b,,,,,,,
f,h,q,p,n,g,m,c,,
d,,,,,,,,,
g,q,n,h,p,f,m,c,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
i,k,e,l,o,a,o,,,
i,o,e,l,k,,,,,
i,k,e,l,o,a,o,o,a,a
b,c,m,,,,,,,
m,b,c,,,,,,,
i,k,o,l,e,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
g,m,p,q,n,f,h,c,,
i,k,e,o,o,a,l,,,
d,,,,,,,,,
i,e,k,l,o,,,,,
c,m,b,,,,,,,
b,c,m,,,,,,,
g,q,p,h,c,f,m,n,,
g,p,f,h,q,j,m,c,,
i,o,e,l,k,,,,,
g,h,m,q,n,f,p,c,,
i,o,e,l,o,a,o,a,k,
l,k,e,i,o,,,,,
d,,,,,,,,,
g,h,q,p,f,n,m,c,,
d,,,,,,,,,
i,k,e,l,a,a,o,a,o,o
g,h,q,p,j,f,m,c,,
d,,,,,,,,,
g,q,p,h,f,m,n,c,,
d,,,,,,,,,
i,o,e,l,k,a,o,,,
g,f,q,p,n,h,m,c,,
b,c,m,,,,,,,
m,b,c,,,,,,,
g,p,q,f,h,j,m,c,,
d,,,,,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
i,e,k,l,o,,,,,
h,p,g,q,n,f,m,c,,
c,m,b,,,,,,,
o,k,e,l,i,a,o,,,
g,q,h,f,n,p,m,c,,
i,k,e,o,l,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
c,m,b,,,,,,,
g,q,p,h,j,m,f,c,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
i,a,e,l,o,a,o,k,o,a
c,m,b,,,,,,,
g,q,h,p,f,j,m,c,,
k,i,e,l,o,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
p,g,h,q,j,f,m,c,,
g,h,p,m,f,n,q,c,,
d,,,,,,,,,
l,k,e,i,o,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,k,e,l,o,a,o,a,o,a
g,h,q,p,n,f,c,m,,
d,,,,,,,,,
c,m,b,,,,,,,
i,k,e,o,l,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
o,k,e,l,o,a,i,,,
i,k,e,l,o,a,o,a,o,a
c,m,b,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
b,c,m,,,,,,,
i,k,a,l,o,e,o,,,
d,,,,,,,,,
a,k,e,l,o,a,o,i,o,
b,c,m,,,,,,,
g,c,q,p,j,f,m,h,,
g,h,q,p,n,f,c,m,,
g,q,h,p,m,j,f,c,,
g,n,h,q,f,p,m,c,,
i,k,o,l,o,a,e,,,
g,p,h,c,n,f,m,q,,
d,,,,,,,,,
i,k,e,a,o,l,o,,,
i,o,e,l,o,a,k,,,
i,k,o,l,e,a,o,,,
g,q,p,h,n,f,m,c,,
m,b,c,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
i,e,k,l,o,,,,,
i,l,e,k,o,a,o,a,o,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
e,k,i,l,o,,,,,
i,k,l,e,o,,,,,
b,c,m,,,,,,,
i,k,a,l,o,a,o,a,o,e
g,q,h,p,f,n,m,c,,
m,b,c,,,,,,,
i,k,l,e,o,,,,,
d,,,,,,,,,
i,o,e,l,k,,,,,
e,k,i,l,o,,,,,
g,h,p,q,f,j,m,c,,
d,,,,,,,,,
m,q,p,h,n,f,g,c,,
o,k,e,l,o,a,o,a,i,a
d,,,,,,,,,
g,h,p,c,n,f,m,q,,
g,h,p,q,n,f,m,c,,
b,c,m,,,,,,,
m,q,p,h,f,j,g,c,,
d,,,,,,,,,
m,b,c,,,,,,,
p,q,h,g,n,f,m,c,,
k,i,e,l,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
g,m,q,h,j,f,p,c,,
c,p,h,q,n,f,m,g,,
d,,,,,,,,,
i,k,e,a,o,a,o,l,o,
d,,,,,,,,,
b,c,m,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
l,k,e,i,o,,,,,
l,k,e,i,o,,,,,
i,k,e,l,o,a,o,a,o,a
c,m,b,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
l,k,e,i,o,,,,,
d,,,,,,,,,
g,h,m,q,f,n,p,c,,
d,,,,,,,,,
i,k,a,l,o,a,o,a,o,e
d,,,,,,,,,
g,m,h,q,j,f,p,c,,
i,k,e,l,o,a,o,a,o,
g,q,m,p,j,f,h,c,,
g,h,p,q,f,c,m,j,,
g,h,q,p,n,f,m,c,,
i,o,e,l,k,a,o,a,o,
m,b,c,,,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
e,k,i,l,o,,,,,
g,h,f,p,n,q,m,c,,
i,k,e,a,o,a,o,l,o,a
m,b,c,,,,,,,
i,l,e,k,o,,,,,
g,q,h,p,m,f,n,c,,
d,,,,,,,,,
m,b,c,,,,,,,
i,k,e,o,l,,,,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
e,k,i,l,o,,,,,
i,k,a,l,o,a,o,e,o,
i,k,l,e,o,a,o,,,
g,n,p,h,q,f,m,c,,
d,,,,,,,,,
b,c,m,,,,,,,
a,k,e,l,o,i,o,a,o,
i,e,k,l,o,a,o,a,o,
g,q,p,h,f,n,m,c,,
g,j,h,p,f,q,m,c,,
k,i,e,l,o,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
m,b,c,,,,,,,
i,l,e,k,o,a,o,a,o,
g,f,p,q,h,n,m,c,,
g,h,q,m,n,f,p,c,,
a,k,e,l,o,i,o,,,
g,h,p,q,n,f,m,c,,
d,,,,,,,,,
g,h,q,p,j,c,m,f,,
m,b,c,,,,,,,
b,c,m,,,,,,,
d,,,,,,,,,
l,k,e,i,o,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
d,,,,,,,,,
n,h,p,q,g,f,m,c,,
b,c,m,,,,,,,
i,o,e,l,o,a,k,,,
m,b,c,,,,,,,
m,b,c,,,,,,,
b,c,m,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,l,e,k,o,,,,,
d,,,,,,,,,
b,c,m,,,,,,,
g,m,h,q,j,f,p,c,,
i,k,o,l,o,a,e,a,o,a
d,,,,,,,,,
d,,,,,,,,,
g,q,p,h,c,f,m,j,,
g,q,p,h,j,f,m,c,,
i,k,e,o,l,,,,,
d,,,,,,,,,
d,,,,,,,,,
i,o,e,l,k,a,o,,,
p,g,h,q,n,f,m,c,,
j,q,h,p,g,f,m,c,,
g,h,p,q,c,n,m,f,,
m,b,c,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
e,k,i,l,o,,,,,
g,q,h,p,c,f,m,n,,
m,b,c,,,,,,,
b,c,m,,,,,,,
b,c,m,,,,,,,
e,k,i,l,o,,,,,
g,h,f,p,j,q,m,c,,
g,q,p,c,f,j,m,h,,
g,f,q,p,h,n,m,c,,
b,c,m,,,,,,,
g,p,q,h,c,f,m,n,,
m,h,p,q,n,f,g,c,,
o,k,e,l,i,,,,,
d,,,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
m,b,c,,,,,,,
d,,,,,,,,,
d,,,,,,,,,
c,m,b,,,,,,,
i,k,e,l,o,o,a,a,o,
g,h,p,q,n,f,m,c,,
c,m,b,,,,,,,
m,b,c,,,,,,,
c,m,b,,,,,,,
g,p,q,m,n,f,h,c,,
d,,,,,,,,,
d,,,,,,,,,
i,k,e,l,a,a,o,o,o,
b,c,m,,,,,,,
c,m,b,,,,,,,
