0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,k,l,f,q,t,h,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,k,l,h,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,k,l,f,q,t,h,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,k,h,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,k,l,f,q,h,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,k,h,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,k,l,f,h,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,k,l,h,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
j,k,l,h,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,d,v,m,a,b,i,n,g,r,o
h,j,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
j,h,k,l,f,q,t,u,c,p,e,s,v,d,m,a,b,i,n,g,r,o
