0,1,2,3,4,5,6,7,8,9,10,11
Assignseriousness,Takeinchargeticket,Takeinchargeticket,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Takeinchargeticket,Resolveticket,Closed,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Assignseriousness,Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Insertticket,Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Takeinchargeticket,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Wait,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Wait,Resolveticket,Closed,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
Assignseriousness,Takeinchargeticket,Wait,Takeinchargeticket,Resolveticket,Closed,,,,,,
Assignseriousness,Takeinchargeticket,Resolveticket,Closed,,,,,,,,
