0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,STORNO,REJECT,BILLED,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,DELETE,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODENOK,DELETE,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,STORNO,BILLED,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,RELEASE,CODEOK,BILLED,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,SETSTATUS,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,STORNO,REJECT,BILLED,STORNO,REJECT,BILLED,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,DELETE,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,
NEW,FIN,RELEASE,SETSTATUS,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,STORNO,REJECT,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,DELETE,,,,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,REOPEN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
NEW,CHANGEDIAGN,FIN,RELEASE,CODEOK,BILLED,,,,,,,,,,,
