Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.0,0.0,0.0,5%,0.95,0.95,0.9523,0.95
0.0,0.0,0.0,10%,0.9,0.9,0.9032,0.9
0.0,0.0,0.0,20%,0.8,0.8,0.8086,0.8
0.0,0.0,0.0,40%,0.6,0.6,0.6163000000000001,0.6
0.0,0.0,0.1,5%,0.9514313821971416,0.9609220565378666,0.9523890412926674,0.953481227529049
0.0,0.0,0.1,10%,0.9034986344873904,0.9255562223434448,0.9065509885430336,0.9044090255975724
0.0,0.0,0.1,20%,0.8091135398864746,0.8689399658203125,0.8135043802142143,0.8120724487304687
0.0,0.0,0.1,40%,0.6201508658409118,0.7559218151092529,0.6312572444617748,0.6277407390356065
0.0,0.1,0.0,5%,0.9513435883283616,0.9671922343790532,0.9530793546557428,0.9503209075808524
0.0,0.1,0.0,10%,0.901292399096489,0.943716033798456,0.9063004130423068,0.9012405831635
0.0,0.1,0.0,20%,0.8015159706234932,0.8889728099822998,0.8097289601266384,0.8035620484054089
0.0,0.1,0.0,40%,0.6130305174529552,0.7610192706167698,0.6228206405699253,0.6112994368553162
0.0,0.1,0.1,5%,0.955023647081852,0.9654935209453106,0.9549930735588074,0.9527554513633252
0.0,0.1,0.1,10%,0.91290639026165,0.9265222674071788,0.9109213318526744,0.9058153368353844
0.0,0.1,0.1,20%,0.8242038410484791,0.8650983572304249,0.825055167222023,0.8145921945035457
0.0,0.1,0.1,40%,0.6622719366133213,0.7538056598246098,0.6588245419561862,0.6341700292885304
0.0,0.2,0.0,5%,0.960613099849224,0.9880824129283428,0.9602087768912316,0.9554072685480116
0.0,0.2,0.0,10%,0.9245927218317984,0.970140865790844,0.9226357110381126,0.9132284588336944
0.0,0.2,0.0,20%,0.8583372363388538,0.945133086836338,0.8543295820772647,0.8334660577714443
0.0,0.2,0.0,40%,0.7239975875079632,0.8840552116513252,0.7126042656421661,0.6730743376970292
0.0,0.2,0.1,5%,0.95239855402112,0.9714004164874552,0.9547008905231952,0.9533358399868012
0.0,0.2,0.1,10%,0.9079662663578988,0.94989949542284,0.9147314555346966,0.9059526102483272
0.0,0.2,0.1,20%,0.8274428054392338,0.863247845339775,0.8338977987706662,0.8180864842891693
0.0,0.2,0.1,40%,0.6722736859798432,0.7599304834127426,0.6760964308381081,0.6483516000032425
0.1,0.0,0.0,5%,0.95,0.9504666422188282,0.9525,0.95
0.1,0.0,0.0,10%,0.9,0.9091798848628998,0.9046,0.9
0.1,0.0,0.0,20%,0.8,0.834595534491539,0.8084,0.8
