Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.0,0.0,0.0,5%,0.9895998,0.9948586,0.9934449,0.98633933
0.0,0.0,0.0,10%,0.9781309,0.98664016,0.9892739,0.9705688
0.0,0.0,0.0,20%,0.95911497,0.97855157,0.9740821,0.94618493
0.0,0.0,0.0,40%,0.91778576,0.95543885,0.9472904,0.8866002
0.0,0.0,0.1,5%,0.9999914,0.9999908,0.99801975,0.99604905
0.0,0.0,0.1,10%,0.99989265,0.9999905,0.99759406,0.9910422
0.0,0.0,0.1,20%,0.99998796,0.99998856,0.99339217,0.98249453
0.0,0.0,0.1,40%,0.99979407,0.99998474,0.98686415,0.9651837
0.0,0.1,0.0,5%,0.9957421,0.9988639,0.9947799,0.9827676
0.0,0.1,0.0,10%,0.9912686,0.9976412,0.98856163,0.9671793
0.0,0.1,0.0,20%,0.9844721,0.9937883,0.9804004,0.93090373
0.0,0.1,0.0,40%,0.97016037,0.988392,0.9610092,0.8623027
0.0,0.1,0.1,5%,0.9992867,0.99644417,0.99591094,0.99002415
0.0,0.1,0.1,10%,0.99833965,0.99351436,0.99130195,0.98031485
0.0,0.1,0.1,20%,0.99515295,0.9872118,0.982858,0.9617381
0.0,0.1,0.1,40%,0.9930605,0.9770098,0.95925236,0.9249165
0.0,0.2,0.0,5%,0.99373615,0.9999838,0.99796826,0.9876125
0.0,0.2,0.0,10%,0.98779315,0.9998921,0.9948585,0.97654766
0.0,0.2,0.0,20%,0.97721446,0.99962646,0.98867273,0.9548314
0.0,0.2,0.0,40%,0.9579656,0.9994216,0.97675186,0.90635556
0.0,0.2,0.1,5%,0.99279124,0.9884033,0.98465675,0.9756082
0.0,0.2,0.1,10%,0.98187566,0.97659737,0.9683223,0.9512953
0.0,0.2,0.1,20%,0.9660074,0.95050275,0.93384695,0.90456015
0.0,0.2,0.1,40%,0.9309409,0.9119461,0.8785792,0.80276877
0.1,0.0,0.0,5%,0.99141717,0.9999295,0.9937088,0.98669237
0.1,0.0,0.0,10%,0.98306346,0.9997959,0.9877631,0.9745225
0.1,0.0,0.0,20%,0.9692875,0.99975705,0.9743695,0.94711405
0.1,0.0,0.0,40%,0.9403844,0.9994754,0.9493303,0.8973635
0.1,0.0,0.1,5%,0.9955786,0.9955978,0.9896288,0.984775
0.1,0.0,0.1,10%,0.9904152,0.99141145,0.979987,0.9694067
0.1,0.0,0.1,20%,0.9795542,0.9817762,0.9592134,0.93619704
0.1,0.0,0.1,40%,0.9583269,0.96203464,0.9267219,0.88139707
0.1,0.1,0.0,5%,0.9722375,0.9981336,0.9953125,0.9865406
0.1,0.1,0.0,10%,0.9444317,0.99430704,0.99136436,0.97152746
0.1,0.1,0.0,20%,0.8911336,0.9908319,0.9828014,0.9416244
0.1,0.1,0.0,40%,0.78054464,0.9812377,0.9598878,0.88162434
0.1,0.1,0.1,5%,0.9999793,0.9999977,0.9999332,0.9968603
0.1,0.1,0.1,10%,0.9999934,0.9999977,0.99981594,0.993282
0.1,0.1,0.1,20%,0.9999869,0.9999977,0.99955,0.9892581
0.1,0.1,0.1,40%,0.9999856,0.9999969,0.9992445,0.9782626
0.1,0.2,0.0,5%,0.99924326,0.9970411,0.99462366,0.9919781
0.1,0.2,0.0,10%,0.99790764,0.9953528,0.99155235,0.98177284
0.1,0.2,0.0,20%,0.99542403,0.99070245,0.9827126,0.9638531
0.1,0.2,0.0,40%,0.99267775,0.98098916,0.96496385,0.9332448
0.1,0.2,0.1,5%,0.9939147,0.99779963,0.9885669,0.97965294
0.1,0.2,0.1,10%,0.9871914,0.9954,0.9784532,0.9614772
0.1,0.2,0.1,20%,0.9729738,0.9937011,0.95746,0.92734843
0.1,0.2,0.1,40%,0.948847,0.9868127,0.9209431,0.8484925
0.2,0.0,0.0,5%,0.99233514,0.99458885,0.9882501,0.9773688
0.2,0.0,0.0,10%,0.98472595,0.98913926,0.9768047,0.954009
0.2,0.0,0.0,20%,0.96780705,0.98094237,0.95486706,0.91181564
0.2,0.0,0.0,40%,0.94034153,0.95979863,0.91031444,0.82679766
0.2,0.0,0.1,5%,0.99997246,0.9999934,0.99926364,0.99343497
0.2,0.0,0.1,10%,0.99994236,0.99999005,0.9986448,0.98814726
0.2,0.0,0.1,20%,0.99989325,0.999992,0.9965412,0.97139454
0.2,0.0,0.1,40%,0.9997127,0.9999844,0.9937967,0.94759065
0.2,0.1,0.0,5%,0.9671994,0.9748425,0.9838396,0.9760309
0.2,0.1,0.0,10%,0.9354485,0.95135754,0.9720045,0.9557499
0.2,0.1,0.0,20%,0.8729811,0.90032274,0.9453087,0.91020644
0.2,0.1,0.0,40%,0.74590105,0.80202776,0.8857329,0.823092
0.2,0.1,0.1,5%,0.9874043,0.9854045,0.98054045,0.97454745
0.2,0.1,0.1,10%,0.9760213,0.9718613,0.957965,0.95383036
0.2,0.1,0.1,20%,0.9554018,0.9411916,0.9193961,0.9052666
0.2,0.1,0.1,40%,0.9078664,0.8791205,0.8345422,0.8172677
0.2,0.2,0.0,5%,0.9959637,0.99526477,0.99241173,0.98131835
0.2,0.2,0.0,10%,0.9939941,0.99036276,0.98040575,0.95964766
0.2,0.2,0.0,20%,0.98886204,0.98040974,0.96875983,0.9186392
0.2,0.2,0.0,40%,0.97323895,0.96076375,0.9277124,0.8308341
0.2,0.2,0.1,5%,0.971998,0.96322566,0.96160233,0.97574246
0.2,0.2,0.1,10%,0.9456282,0.92685664,0.9265057,0.9503376
0.2,0.2,0.1,20%,0.8899045,0.8555139,0.8504276,0.9028255
0.2,0.2,0.1,40%,0.78132945,0.7134871,0.70318455,0.8045579
