Choice,Parallel,Loop,Noise Level,Add,Delete,Replace,Swap
0.0,0.0,0.0,5%,0.9987838365383936,0.9986137821359248,0.9987087983634936,1.0
0.0,0.0,0.0,10%,0.997376378885602,0.997066980882832,0.9974737297150258,1.0
0.0,0.0,0.0,20%,0.9946692104301044,0.9941288827219756,0.9947281395115464,1.0
0.0,0.0,0.0,40%,0.9896087202773168,0.9890505290892552,0.989327714031042,1.0
0.0,0.0,0.1,5%,0.998730063819481,0.9987970795295248,0.9985328341905804,1.0
0.0,0.0,0.1,10%,0.9973681243985306,0.997345782818075,0.9969532691051252,1.0
0.0,0.0,0.1,20%,0.99491319984692,0.9949117060737124,0.9937264839825136,1.0
0.0,0.0,0.1,40%,0.9893420430827612,0.9898613642498008,0.9885279021682868,1.0
0.0,0.1,0.0,5%,0.9983882261664287,0.9982010206436678,0.9982145738307718,1.0
0.0,0.1,0.0,10%,0.9966319073900124,0.9965273855908178,0.996197114020293,1.0
0.0,0.1,0.0,20%,0.9936895698750744,0.9917036203780808,0.9929135714155208,1.0
0.0,0.1,0.0,40%,0.9865012732617175,0.9851952763933464,0.9857814243175964,1.0
0.0,0.1,0.1,5%,0.998628500143136,0.99874239872391,0.9984998774901304,1.0
0.0,0.1,0.1,10%,0.9973689467370324,0.997391907219809,0.9971055599084244,1.0
0.0,0.1,0.1,20%,0.9941184243335414,0.9946373563430287,0.9941736656398288,1.0
0.0,0.1,0.1,40%,0.9878329552530062,0.9892477855228894,0.987767156722208,1.0
0.0,0.2,0.0,5%,0.9972137270101816,0.9972601074966972,0.997380072801637,1.0
0.0,0.2,0.0,10%,0.9952129339630804,0.9943455325683828,0.994283829656788,1.0
0.0,0.2,0.0,20%,0.9890134324908773,0.9889187150829528,0.989709129522266,1.0
0.0,0.2,0.0,40%,0.9790762120601956,0.977014106621727,0.97906652496104,1.0
0.0,0.2,0.1,5%,0.9967428646952526,0.9958675316626776,0.9964295882186062,1.0
0.0,0.2,0.1,10%,0.9932605333515562,0.991733813803699,0.9926512069686916,1.0
0.0,0.2,0.1,20%,0.986041314433202,0.984745641653076,0.9862009982416712,1.0
0.0,0.2,0.1,40%,0.9728915114664836,0.9694484531721022,0.9700141686038783,1.0
0.1,0.0,0.0,5%,0.9983850565544808,0.9985957743434782,0.9981764621393516,1.0
0.1,0.0,0.0,10%,0.9968853548570248,0.9969905541789214,0.9967340972007092,1.0
0.1,0.0,0.0,20%,0.9939690907879142,0.9937939689218254,0.99357701746742,1.0
0.1,0.0,0.0,40%,0.9872987913735326,0.9887026227606532,0.9868298816152036,1.0
0.1,0.0,0.1,5%,0.9982768426150757,0.9982842811667988,0.9981029556429276,1.0
0.1,0.0,0.1,10%,0.9960215935249904,0.9962299500628496,0.9958420482138588,1.0
0.1,0.0,0.1,20%,0.9926416148787166,0.9930395848768468,0.9918004054941204,1.0
0.1,0.0,0.1,40%,0.9856585381014266,0.9846835330506548,0.9847187500840698,1.0
0.1,0.1,0.0,5%,0.998389769921722,0.998432190549614,0.9981032491615912,1.0
0.1,0.1,0.0,10%,0.9967623296353252,0.9960469084785722,0.9962863211020369,1.0
0.1,0.1,0.0,20%,0.9931925304929444,0.993288235697696,0.9931007759372572,1.0
0.1,0.1,0.0,40%,0.98623172334034,0.9877400058312288,0.9858215942906716,1.0
0.1,0.1,0.1,5%,0.9983259916568652,0.9983400082421684,0.9982017339747584,1.0
0.1,0.1,0.1,10%,0.9967089486764584,0.996908969704184,0.9964954669996172,1.0
